Latitude,Longitude,Elevation
37.82744000,-122.498950,247.0
37.82741000,-122.498960,247.0
37.82738000,-122.498980,246.0
37.82734000,-122.498990,245.0
37.82731000,-122.499010,245.0
37.82729000,-122.499030,245.0
37.82725000,-122.499050,245.0
37.82722000,-122.499060,244.0
37.82719000,-122.499080,244.0
37.82716000,-122.499100,243.0
37.82713000,-122.499130,243.0
37.82711000,-122.499150,243.0
37.82708000,-122.499160,243.0
37.82705000,-122.499160,242.0
37.82701000,-122.499170,241.0
37.82698000,-122.499190,241.0
37.82696000,-122.499220,241.0
37.82697000,-122.499270,243.0
37.82698000,-122.499320,246.0
37.82699000,-122.499360,248.0
37.82696000,-122.499360,247.0
37.82693000,-122.499350,245.0
37.82690000,-122.499360,244.0
37.82687000,-122.499380,244.0
37.82685000,-122.499400,244.0
37.82682000,-122.499400,243.0
37.82679000,-122.499430,242.0
37.82679000,-122.499460,243.0
37.82678000,-122.499510,243.0
37.82676000,-122.499530,242.0
37.82675000,-122.499580,242.0
37.82675000,-122.499620,243.0
37.82675000,-122.499670,243.0
37.82676000,-122.499710,244.0
37.82677000,-122.499750,244.0
37.82679000,-122.499790,245.0
37.82682000,-122.499820,246.0
37.82685000,-122.499840,247.0
37.82688000,-122.499850,248.0
37.82691000,-122.499870,249.0
37.82694000,-122.499880,250.0
37.82697000,-122.499890,251.0
37.82701000,-122.499900,253.0
37.82705000,-122.499900,254.0
37.82707000,-122.499910,255.0
37.82711000,-122.499900,256.0
37.82714000,-122.499900,257.0
37.82718000,-122.499900,258.0
37.82720000,-122.499900,259.0
37.82723000,-122.499890,260.0
37.82726000,-122.499890,260.0
37.82730000,-122.499890,261.0
37.82733000,-122.499900,262.0
37.82736000,-122.499900,262.0
37.82740000,-122.499890,263.0
37.82743000,-122.499890,264.0
37.82747000,-122.499900,265.0
37.82750000,-122.499900,265.0
37.82753000,-122.499900,265.0
37.82756000,-122.499890,265.0
37.82760000,-122.499890,265.0
37.82763000,-122.499890,266.0
37.82767000,-122.499880,266.0
37.82770000,-122.499860,266.0
37.82767000,-122.499880,266.0
37.82764000,-122.499870,266.0
37.82760000,-122.499850,266.0
37.82758000,-122.499820,266.0
37.82758000,-122.499770,266.0
37.82758000,-122.499730,266.0
37.82758000,-122.499690,267.0
37.82759000,-122.499640,267.0
37.82760000,-122.499600,267.0
37.82761000,-122.499550,267.0
37.82765000,-122.499520,267.0
37.82767000,-122.499500,267.0
37.82770000,-122.499480,267.0
37.82773000,-122.499460,267.0
37.82776000,-122.499450,267.0
37.82779000,-122.499410,266.0
37.82782000,-122.499390,265.0
37.82785000,-122.499380,265.0
37.82787000,-122.499360,264.0
37.82790000,-122.499350,264.0
37.82793000,-122.499340,264.0
37.82796000,-122.499320,263.0
37.82799000,-122.499310,263.0
37.82802000,-122.499290,263.0
37.82805000,-122.499270,263.0
37.82806000,-122.499220,263.0
37.82807000,-122.499190,263.0
37.82808000,-122.499160,262.0
