Latitude,Longitude,Elevation
37.02155000,-112.559620,1528.0
37.02158000,-112.559610,1528.0
37.02161000,-112.559610,1528.0
37.02164000,-112.559610,1528.0
37.02167000,-112.559610,1528.0
37.02170000,-112.559610,1528.0
37.02174000,-112.559610,1528.0
37.02177000,-112.559600,1528.0
37.02181000,-112.559600,1528.0
37.02185000,-112.559600,1528.0
37.02188000,-112.559600,1528.0
37.02192000,-112.559600,1528.0
37.02195000,-112.559590,1528.0
37.02199000,-112.559590,1528.0
37.02203000,-112.559590,1528.0
37.02206000,-112.559590,1529.0
37.02210000,-112.559600,1529.0
37.02213000,-112.559620,1529.0
37.02217000,-112.559620,1529.0
37.02220000,-112.559610,1529.0
37.02224000,-112.559610,1529.0
37.02227000,-112.559600,1530.0
37.02230000,-112.559590,1530.0
37.02233000,-112.559590,1530.0
37.02237000,-112.559590,1530.0
37.02241000,-112.559590,1530.0
37.02245000,-112.559590,1530.0
37.02248000,-112.559590,1530.0
37.02252000,-112.559590,1531.0
37.02255000,-112.559600,1531.0
37.02258000,-112.559620,1531.0
37.02261000,-112.559640,1531.0
37.02264000,-112.559640,1531.0
37.02267000,-112.559650,1531.0
37.02270000,-112.559680,1531.0
37.02273000,-112.559710,1530.0
37.02276000,-112.559740,1530.0
37.02279000,-112.559750,1531.0
37.02282000,-112.559780,1531.0
37.02285000,-112.559800,1531.0
37.02287000,-112.559820,1531.0
37.02290000,-112.559840,1532.0
37.02292000,-112.559850,1532.0
37.02295000,-112.559880,1532.0
37.02298000,-112.559910,1532.0
37.02301000,-112.559940,1532.0
37.02303000,-112.559960,1532.0
37.02305000,-112.559980,1532.0
37.02308000,-112.560020,1533.0
37.02311000,-112.560050,1533.0
37.02314000,-112.560070,1533.0
37.02317000,-112.560080,1533.0
37.02321000,-112.560080,1533.0
37.02323000,-112.560080,1534.0
37.02327000,-112.560080,1534.0
37.02331000,-112.560080,1534.0
37.02334000,-112.560100,1534.0
37.02337000,-112.560110,1534.0
37.02340000,-112.560110,1534.0
37.02343000,-112.560090,1535.0
37.02347000,-112.560070,1535.0
37.02351000,-112.560050,1535.0
37.02354000,-112.560050,1536.0
37.02357000,-112.560070,1536.0
37.02360000,-112.560080,1536.0
37.02363000,-112.560100,1536.0
37.02366000,-112.560120,1537.0
37.02370000,-112.560110,1537.0
37.02374000,-112.560100,1537.0
37.02378000,-112.560100,1538.0
37.02381000,-112.560110,1538.0
37.02384000,-112.560120,1538.0
37.02388000,-112.560120,1539.0
37.02391000,-112.560140,1539.0
37.02394000,-112.560160,1539.0
37.02398000,-112.560170,1539.0
37.02401000,-112.560180,1540.0
37.02405000,-112.560180,1540.0
37.02408000,-112.560170,1541.0
37.02411000,-112.560170,1541.0
37.02414000,-112.560160,1542.0
37.02417000,-112.560160,1542.0
37.02420000,-112.560150,1543.0
37.02424000,-112.560170,1543.0
37.02427000,-112.560200,1543.0
37.02430000,-112.560230,1543.0
37.02432000,-112.560260,1543.0
37.02434000,-112.560280,1543.0
37.02436000,-112.560320,1543.0
37.02438000,-112.560350,1543.0
37.02440000,-112.560370,1543.0
37.02443000,-112.560390,1544.0
37.02445000,-112.560420,1544.0
37.02445000,-112.560460,1543.0
37.02445000,-112.560500,1543.0
37.02445000,-112.560530,1543.0
37.02445000,-112.560570,1543.0
37.02444000,-112.560620,1542.0
37.02444000,-112.560660,1542.0
37.02444000,-112.560700,1542.0
37.02444000,-112.560750,1542.0
37.02444000,-112.560800,1542.0
37.02445000,-112.560840,1543.0
37.02448000,-112.560870,1543.0
37.02452000,-112.560870,1543.0
37.02454000,-112.560870,1543.0
37.02458000,-112.560880,1543.0
37.02462000,-112.560880,1542.0
37.02465000,-112.560890,1542.0
37.02468000,-112.560900,1542.0
37.02472000,-112.560910,1542.0
37.02475000,-112.560920,1542.0
37.02479000,-112.560920,1542.0
37.02482000,-112.560940,1542.0
37.02485000,-112.560970,1542.0
37.02488000,-112.560990,1542.0
37.02492000,-112.561000,1542.0
37.02495000,-112.561010,1542.0
37.02499000,-112.561020,1542.0
37.02502000,-112.561010,1542.0
37.02505000,-112.561000,1542.0
37.02509000,-112.560980,1543.0
37.02512000,-112.560960,1543.0
37.02515000,-112.560950,1543.0
37.02518000,-112.560920,1544.0
37.02521000,-112.560910,1544.0
37.02523000,-112.560900,1545.0
37.02527000,-112.560920,1545.0
37.02528000,-112.560970,1545.0
37.02529000,-112.561010,1544.0
37.02530000,-112.561060,1544.0
37.02531000,-112.561110,1544.0
37.02532000,-112.561140,1544.0
37.02532000,-112.561180,1544.0
37.02533000,-112.561220,1544.0
37.02534000,-112.561270,1545.0
37.02535000,-112.561310,1545.0
37.02538000,-112.561330,1545.0
37.02542000,-112.561340,1546.0
37.02546000,-112.561340,1546.0
37.02549000,-112.561340,1546.0
37.02552000,-112.561340,1546.0
37.02556000,-112.561340,1547.0
37.02559000,-112.561320,1547.0
37.02562000,-112.561310,1548.0
37.02565000,-112.561290,1548.0
37.02567000,-112.561260,1549.0
37.02570000,-112.561240,1549.0
37.02573000,-112.561220,1550.0
37.02576000,-112.561200,1550.0
37.02578000,-112.561180,1551.0
37.02581000,-112.561180,1551.0
37.02585000,-112.561190,1552.0
37.02589000,-112.561200,1552.0
37.02592000,-112.561180,1552.0
37.02596000,-112.561160,1553.0
37.02599000,-112.561140,1553.0
37.02603000,-112.561130,1554.0
37.02606000,-112.561120,1554.0
37.02609000,-112.561100,1555.0
37.02613000,-112.561080,1555.0
37.02615000,-112.561070,1555.0
37.02618000,-112.561060,1555.0
37.02621000,-112.561070,1555.0
37.02624000,-112.561080,1555.0
37.02626000,-112.561100,1554.0
37.02628000,-112.561130,1554.0
37.02631000,-112.561160,1554.0
37.02633000,-112.561180,1554.0
37.02636000,-112.561210,1553.0
37.02638000,-112.561260,1553.0
37.02640000,-112.561290,1554.0
37.02643000,-112.561330,1554.0
37.02645000,-112.561340,1554.0
37.02649000,-112.561350,1554.0
37.02652000,-112.561370,1554.0
37.02656000,-112.561380,1555.0
37.02660000,-112.561390,1555.0
37.02663000,-112.561390,1555.0
37.02666000,-112.561390,1555.0
37.02670000,-112.561390,1556.0
37.02674000,-112.561390,1556.0
37.02678000,-112.561390,1556.0
37.02680000,-112.561360,1556.0
37.02681000,-112.561330,1556.0
37.02684000,-112.561300,1557.0
37.02687000,-112.561280,1557.0
37.02691000,-112.561270,1557.0
37.02694000,-112.561290,1557.0
37.02697000,-112.561300,1557.0
37.02699000,-112.561330,1557.0
37.02700000,-112.561360,1557.0
37.02702000,-112.561390,1557.0
37.02703000,-112.561420,1557.0
37.02704000,-112.561450,1557.0
37.02704000,-112.561490,1557.0
37.02704000,-112.561530,1557.0
37.02705000,-112.561570,1557.0
37.02708000,-112.561600,1557.0
37.02709000,-112.561630,1557.0
37.02711000,-112.561670,1556.0
37.02713000,-112.561710,1556.0
37.02715000,-112.561750,1556.0
37.02716000,-112.561790,1556.0
37.02718000,-112.561840,1556.0
37.02719000,-112.561880,1556.0
37.02721000,-112.561910,1556.0
37.02724000,-112.561920,1557.0
37.02728000,-112.561920,1557.0
37.02730000,-112.561920,1557.0
37.02733000,-112.561900,1557.0
