Latitude,Longitude,Elevation
37.80340000,-122.176840,333.0
37.80341000,-122.176810,333.0
37.80342000,-122.176780,333.0
37.80343000,-122.176780,333.0
37.80345000,-122.176740,333.0
37.80347000,-122.176710,333.0
37.80348000,-122.176670,332.0
37.80348000,-122.176640,332.0
37.80345000,-122.176610,332.0
37.80343000,-122.176590,332.0
37.80342000,-122.176560,332.0
37.80341000,-122.176520,332.0
37.80340000,-122.176480,332.0
37.80338000,-122.176450,332.0
37.80336000,-122.176420,332.0
37.80333000,-122.176390,332.0
37.80330000,-122.176370,332.0
37.80328000,-122.176350,332.0
37.80324000,-122.176320,333.0
37.80322000,-122.176300,333.0
37.80319000,-122.176270,333.0
37.80317000,-122.176240,334.0
37.80315000,-122.176200,334.0
37.80314000,-122.176160,334.0
37.80313000,-122.176110,334.0
37.80312000,-122.176070,334.0
37.80311000,-122.176030,334.0
37.80310000,-122.175980,334.0
37.80310000,-122.175940,334.0
37.80310000,-122.175890,334.0
37.80311000,-122.175850,334.0
37.80311000,-122.175810,334.0
37.80310000,-122.175770,334.0
37.80311000,-122.175720,334.0
37.80312000,-122.175680,333.0
37.80312000,-122.175640,333.0
37.80312000,-122.175590,333.0
37.80312000,-122.175550,332.0
37.80315000,-122.175540,332.0
37.80317000,-122.175560,331.0
37.80319000,-122.175590,331.0
37.80321000,-122.175610,331.0
37.80323000,-122.175640,331.0
37.80325000,-122.175680,331.0
37.80327000,-122.175710,330.0
37.80329000,-122.175740,330.0
37.80333000,-122.175740,329.0
37.80334000,-122.175700,329.0
37.80334000,-122.175660,329.0
37.80333000,-122.175620,329.0
37.80333000,-122.175580,329.0
37.80332000,-122.175540,329.0
37.80332000,-122.175490,328.0
37.80332000,-122.175450,328.0
37.80332000,-122.175410,327.0
37.80333000,-122.175360,326.0
37.80336000,-122.175320,326.0
37.80338000,-122.175310,325.0
37.80341000,-122.175290,325.0
37.80343000,-122.175280,324.0
37.80346000,-122.175260,324.0
37.80348000,-122.175240,323.0
37.80351000,-122.175220,322.0
37.80353000,-122.175200,322.0
37.80355000,-122.175170,321.0
37.80357000,-122.175160,321.0
37.80354000,-122.175160,321.0
37.80357000,-122.175140,320.0
37.80359000,-122.175120,320.0
37.80362000,-122.175100,319.0
37.80364000,-122.175070,318.0
37.80366000,-122.175050,317.0
37.80368000,-122.175010,317.0
37.80370000,-122.174970,316.0
37.80372000,-122.174930,316.0
37.80373000,-122.174900,315.0
37.80375000,-122.174870,315.0
37.80377000,-122.174830,315.0
37.80379000,-122.174790,314.0
37.80381000,-122.174750,313.0
37.80382000,-122.174720,313.0
37.80384000,-122.174670,312.0
37.80386000,-122.174640,312.0
37.80388000,-122.174590,311.0
37.80390000,-122.174550,310.0
37.80392000,-122.174520,309.0
37.80393000,-122.174470,309.0
37.80393000,-122.174430,309.0
37.80394000,-122.174390,308.0
37.80394000,-122.174360,308.0
37.80394000,-122.174320,308.0
37.80394000,-122.174290,308.0
37.80394000,-122.174250,308.0
37.80392000,-122.174210,308.0
37.80390000,-122.174180,308.0
37.80388000,-122.174150,309.0
37.80386000,-122.174130,309.0
37.80384000,-122.174100,309.0
37.80382000,-122.174080,309.0
37.80380000,-122.174060,309.0
37.80377000,-122.174030,310.0
37.80375000,-122.173990,310.0
37.80374000,-122.173960,310.0
37.80373000,-122.173930,310.0
37.80372000,-122.173890,309.0
37.80371000,-122.173850,309.0
37.80371000,-122.173800,309.0
37.80373000,-122.173760,309.0
37.80373000,-122.173810,309.0
37.80372000,-122.173850,309.0
37.80372000,-122.173880,309.0
37.80373000,-122.173930,310.0
37.80376000,-122.173930,309.0
37.80378000,-122.173920,309.0
37.80382000,-122.173900,308.0
37.80384000,-122.173890,308.0
37.80388000,-122.173880,308.0
37.80390000,-122.173870,307.0
37.80393000,-122.173850,307.0
37.80395000,-122.173840,307.0
37.80398000,-122.173830,307.0
37.80402000,-122.173840,306.0
37.80406000,-122.173860,306.0
37.80409000,-122.173880,306.0
37.80412000,-122.173890,306.0
37.80414000,-122.173910,306.0
37.80417000,-122.173930,305.0
37.80419000,-122.173950,305.0
37.80421000,-122.173980,305.0
37.80422000,-122.174020,305.0
37.80423000,-122.174050,304.0
37.80424000,-122.174090,304.0
37.80424000,-122.174120,304.0
37.80424000,-122.174160,303.0
37.80425000,-122.174200,303.0
37.80425000,-122.174240,303.0
37.80425000,-122.174280,303.0
37.80423000,-122.174320,303.0
37.80421000,-122.174350,303.0
37.80420000,-122.174390,303.0
37.80419000,-122.174440,303.0
37.80420000,-122.174470,303.0
37.80420000,-122.174510,303.0
37.80421000,-122.174550,304.0
37.80423000,-122.174580,303.0
37.80426000,-122.174600,303.0
37.80429000,-122.174630,303.0
37.80431000,-122.174660,303.0
37.80432000,-122.174690,303.0
37.80433000,-122.174720,303.0
37.80434000,-122.174770,303.0
37.80435000,-122.174810,303.0
37.80438000,-122.174850,304.0
37.80441000,-122.174870,304.0
37.80444000,-122.174860,303.0
37.80446000,-122.174840,303.0
37.80448000,-122.174800,303.0
37.80449000,-122.174770,303.0
37.80450000,-122.174740,303.0
37.80451000,-122.174690,303.0
37.80453000,-122.174650,303.0
37.80455000,-122.174610,303.0
37.80456000,-122.174570,303.0
37.80457000,-122.174530,303.0
37.80458000,-122.174490,303.0
37.80460000,-122.174450,303.0
37.80462000,-122.174410,303.0
37.80463000,-122.174360,304.0
37.80464000,-122.174330,304.0
37.80466000,-122.174300,305.0
37.80467000,-122.174260,305.0
37.80469000,-122.174210,306.0
37.80469000,-122.174170,307.0
37.80468000,-122.174130,307.0
37.80468000,-122.174100,307.0
37.80467000,-122.174060,307.0
37.80466000,-122.174010,307.0
37.80466000,-122.173960,308.0
37.80467000,-122.173920,308.0
37.80469000,-122.173890,308.0
37.80470000,-122.173850,308.0
37.80471000,-122.173800,308.0
37.80473000,-122.173770,309.0
37.80473000,-122.173730,309.0
37.80473000,-122.173690,309.0
37.80473000,-122.173650,309.0
37.80474000,-122.173610,309.0
37.80475000,-122.173570,308.0
37.80477000,-122.173590,309.0
37.80478000,-122.173630,310.0
37.80479000,-122.173660,310.0
37.80481000,-122.173690,310.0
37.80484000,-122.173710,311.0
37.80485000,-122.173750,312.0
37.80488000,-122.173760,312.0
37.80488000,-122.173730,312.0
37.80489000,-122.173680,312.0
37.80490000,-122.173650,312.0
37.80490000,-122.173600,312.0
37.80490000,-122.173560,311.0
37.80490000,-122.173520,310.0
37.80492000,-122.173480,310.0
37.80493000,-122.173440,309.0
37.80495000,-122.173410,309.0
37.80498000,-122.173380,309.0
37.80499000,-122.173350,309.0
37.80501000,-122.173310,310.0
37.80504000,-122.173300,311.0
37.80506000,-122.173260,313.0
37.80508000,-122.173230,314.0
37.80510000,-122.173200,316.0
37.80512000,-122.173170,317.0
37.80514000,-122.173130,319.0
37.80516000,-122.173090,320.0
37.80520000,-122.173060,322.0
37.80523000,-122.173050,323.0
37.80526000,-122.173030,325.0
