Latitude,Longitude,Elevation
37.50438000,-121.908730,116.0
37.50441000,-121.908690,116.0
37.50442000,-121.908650,116.0
37.50442000,-121.908620,116.0
37.50442000,-121.908580,116.0
37.50441000,-121.908530,117.0
37.50441000,-121.908490,117.0
37.50441000,-121.908440,117.0
37.50440000,-121.908390,117.0
37.50439000,-121.908350,117.0
37.50438000,-121.908310,117.0
37.50436000,-121.908280,117.0
37.50433000,-121.908280,117.0
37.50434000,-121.908240,117.0
37.50433000,-121.908200,117.0
37.50431000,-121.908170,117.0
37.50429000,-121.908130,117.0
37.50428000,-121.908100,118.0
37.50427000,-121.908060,118.0
37.50424000,-121.908050,117.0
37.50423000,-121.908000,117.0
37.50423000,-121.907970,117.0
37.50423000,-121.907920,117.0
37.50420000,-121.907900,117.0
37.50418000,-121.907880,117.0
37.50420000,-121.907900,117.0
37.50423000,-121.907950,117.0
37.50425000,-121.907990,117.0
37.50427000,-121.908030,118.0
37.50429000,-121.908060,118.0
37.50431000,-121.908090,118.0
37.50433000,-121.908130,118.0
37.50434000,-121.908160,118.0
37.50434000,-121.908200,118.0
37.50431000,-121.908230,117.0
37.50429000,-121.908210,117.0
37.50428000,-121.908160,117.0
37.50427000,-121.908120,117.0
37.50426000,-121.908090,117.0
37.50424000,-121.908050,117.0
37.50423000,-121.908010,117.0
37.50422000,-121.907970,117.0
37.50420000,-121.907920,117.0
37.50420000,-121.907880,117.0
37.50419000,-121.907830,117.0
37.50419000,-121.907780,117.0
37.50418000,-121.907740,117.0
37.50418000,-121.907690,118.0
37.50419000,-121.907650,118.0
37.50420000,-121.907610,119.0
37.50420000,-121.907570,119.0
37.50421000,-121.907530,120.0
37.50421000,-121.907490,120.0
37.50421000,-121.907440,121.0
37.50422000,-121.907400,121.0
37.50422000,-121.907350,122.0
37.50423000,-121.907300,123.0
37.50423000,-121.907260,123.0
37.50423000,-121.907230,124.0
37.50424000,-121.907180,124.0
37.50424000,-121.907130,124.0
37.50426000,-121.907090,125.0
37.50427000,-121.907050,125.0
37.50428000,-121.907000,126.0
37.50428000,-121.906970,126.0
37.50430000,-121.906930,126.0
37.50431000,-121.906880,126.0
37.50431000,-121.906840,126.0
37.50431000,-121.906800,126.0
37.50432000,-121.906760,126.0
37.50431000,-121.906710,126.0
37.50431000,-121.906670,127.0
37.50431000,-121.906620,127.0
37.50432000,-121.906580,127.0
37.50432000,-121.906520,127.0
37.50432000,-121.906470,127.0
37.50433000,-121.906440,127.0
37.50433000,-121.906400,128.0
37.50435000,-121.906370,128.0
37.50436000,-121.906320,128.0
37.50437000,-121.906280,129.0
37.50438000,-121.906240,129.0
37.50440000,-121.906200,130.0
37.50441000,-121.906170,130.0
37.50443000,-121.906120,130.0
37.50445000,-121.906080,131.0
37.50445000,-121.906050,131.0
37.50446000,-121.906000,132.0
37.50447000,-121.905960,132.0
37.50448000,-121.905930,133.0
37.50450000,-121.905880,133.0
37.50450000,-121.905840,134.0
37.50451000,-121.905800,134.0
37.50452000,-121.905760,134.0
37.50453000,-121.905720,135.0
37.50452000,-121.905680,135.0
37.50452000,-121.905630,135.0
37.50453000,-121.905580,135.0
37.50453000,-121.905550,135.0
37.50453000,-121.905500,135.0
37.50453000,-121.905470,136.0
37.50454000,-121.905420,136.0
37.50454000,-121.905380,136.0
37.50454000,-121.905330,137.0
37.50454000,-121.905280,137.0
37.50455000,-121.905230,137.0
37.50456000,-121.905190,138.0
37.50456000,-121.905140,138.0
37.50456000,-121.905110,138.0
37.50457000,-121.905070,138.0
37.50457000,-121.905030,139.0
37.50458000,-121.905000,139.0
37.50458000,-121.904960,139.0
37.50459000,-121.904910,139.0
37.50459000,-121.904880,139.0
37.50459000,-121.904830,139.0
37.50458000,-121.904780,139.0
37.50458000,-121.904750,139.0
37.50459000,-121.904710,138.0
37.50460000,-121.904670,138.0
37.50459000,-121.904620,138.0
37.50459000,-121.904580,138.0
37.50458000,-121.904530,138.0
37.50457000,-121.904490,138.0
37.50457000,-121.904450,138.0
37.50457000,-121.904400,138.0
37.50457000,-121.904360,138.0
37.50456000,-121.904330,138.0
37.50456000,-121.904280,138.0
37.50456000,-121.904240,139.0
37.50455000,-121.904200,139.0
37.50455000,-121.904160,139.0
37.50454000,-121.904120,139.0
37.50454000,-121.904090,140.0
37.50455000,-121.904050,140.0
37.50456000,-121.904000,141.0
37.50457000,-121.903960,141.0
37.50457000,-121.903920,142.0
37.50459000,-121.903880,142.0
37.50460000,-121.903840,143.0
37.50462000,-121.903800,143.0
37.50463000,-121.903760,144.0
37.50465000,-121.903720,145.0
37.50467000,-121.903690,145.0
37.50469000,-121.903650,146.0
37.50471000,-121.903620,146.0
37.50472000,-121.903590,147.0
37.50474000,-121.903550,147.0
37.50476000,-121.903510,147.0
37.50476000,-121.903470,148.0
37.50476000,-121.903420,148.0
37.50476000,-121.903380,149.0
37.50476000,-121.903340,149.0
37.50476000,-121.903290,150.0
37.50475000,-121.903260,151.0
37.50474000,-121.903220,151.0
37.50472000,-121.903180,152.0
37.50471000,-121.903140,153.0
37.50469000,-121.903110,154.0
37.50466000,-121.903080,154.0
37.50464000,-121.903040,155.0
37.50462000,-121.903020,155.0
37.50459000,-121.902990,155.0
37.50457000,-121.902960,156.0
37.50454000,-121.902940,156.0
37.50450000,-121.902930,156.0
37.50446000,-121.902920,157.0
37.50444000,-121.902890,157.0
37.50441000,-121.902860,158.0
37.50438000,-121.902830,158.0
37.50436000,-121.902810,158.0
37.50434000,-121.902780,159.0
37.50431000,-121.902760,159.0
37.50428000,-121.902750,159.0
37.50425000,-121.902730,159.0
37.50422000,-121.902720,159.0
37.50419000,-121.902710,159.0
37.50416000,-121.902700,159.0
37.50413000,-121.902680,159.0
37.50410000,-121.902660,159.0
37.50407000,-121.902650,158.0
37.50404000,-121.902630,158.0
37.50401000,-121.902610,159.0
37.50398000,-121.902600,158.0
37.50395000,-121.902580,159.0
37.50392000,-121.902560,159.0
37.50389000,-121.902540,159.0
37.50386000,-121.902510,159.0
37.50384000,-121.902470,159.0
37.50382000,-121.902430,160.0
37.50380000,-121.902400,161.0
37.50378000,-121.902370,161.0
37.50376000,-121.902340,161.0
37.50375000,-121.902310,162.0
37.50374000,-121.902270,163.0
37.50372000,-121.902240,164.0
37.50371000,-121.902210,164.0
37.50370000,-121.902180,164.0
37.50370000,-121.902130,165.0
37.50369000,-121.902100,166.0
37.50369000,-121.902060,166.0
37.50368000,-121.902010,167.0
37.50368000,-121.901980,167.0
37.50366000,-121.901950,168.0
37.50366000,-121.901910,168.0
37.50365000,-121.901870,168.0
37.50366000,-121.901820,169.0
37.50366000,-121.901780,169.0
37.50365000,-121.901740,169.0
37.50365000,-121.901710,170.0
37.50365000,-121.901660,170.0
37.50366000,-121.901620,171.0
37.50367000,-121.901590,171.0
37.50368000,-121.901550,172.0
37.50368000,-121.901510,173.0
37.50369000,-121.901480,173.0
37.50371000,-121.901440,174.0
37.50372000,-121.901410,175.0
37.50374000,-121.901370,176.0
37.50375000,-121.901330,177.0
37.50377000,-121.901300,177.0
37.50380000,-121.901270,178.0
37.50383000,-121.901240,179.0
37.50385000,-121.901210,180.0
37.50387000,-121.901170,180.0
37.50389000,-121.901150,181.0
37.50391000,-121.901120,182.0
37.50392000,-121.901090,182.0
37.50394000,-121.901060,183.0
37.50395000,-121.901030,184.0
37.50397000,-121.900990,185.0
37.50398000,-121.900960,185.0
37.50400000,-121.900930,186.0
37.50401000,-121.900890,187.0
37.50402000,-121.900850,188.0
37.50404000,-121.900810,189.0
37.50405000,-121.900780,190.0
37.50406000,-121.900750,190.0
37.50407000,-121.900710,191.0
37.50408000,-121.900670,192.0
37.50409000,-121.900630,193.0
37.50410000,-121.900590,193.0
37.50411000,-121.900550,194.0
37.50412000,-121.900510,195.0
37.50412000,-121.900470,196.0
37.50412000,-121.900430,197.0
37.50413000,-121.900390,197.0
37.50413000,-121.900350,198.0
37.50414000,-121.900310,199.0
37.50414000,-121.900260,200.0
37.50414000,-121.900230,201.0
37.50414000,-121.900190,201.0
37.50415000,-121.900150,202.0
37.50414000,-121.900110,203.0
37.50414000,-121.900080,203.0
37.50414000,-121.900030,204.0
37.50414000,-121.899990,205.0
37.50415000,-121.899950,206.0
37.50414000,-121.899910,207.0
37.50414000,-121.899870,207.0
37.50414000,-121.899830,208.0
37.50414000,-121.899790,209.0
37.50414000,-121.899760,209.0
37.50414000,-121.899720,210.0
37.50414000,-121.899690,211.0
37.50414000,-121.899650,211.0
37.50414000,-121.899620,212.0
37.50413000,-121.899580,213.0
37.50413000,-121.899540,213.0
37.50412000,-121.899510,214.0
37.50412000,-121.899470,215.0
37.50411000,-121.899430,216.0
37.50411000,-121.899390,217.0
37.50411000,-121.899340,217.0
37.50411000,-121.899300,218.0
37.50410000,-121.899270,219.0
37.50408000,-121.899240,220.0
37.50407000,-121.899200,220.0
37.50405000,-121.899160,221.0
37.50403000,-121.899140,222.0
37.50401000,-121.899110,223.0
37.50400000,-121.899080,224.0
37.50397000,-121.899060,225.0
37.50395000,-121.899020,227.0
37.50394000,-121.899000,227.0
37.50392000,-121.898970,228.0
37.50389000,-121.898940,230.0
37.50387000,-121.898920,231.0
37.50384000,-121.898900,232.0
37.50382000,-121.898870,233.0
37.50380000,-121.898850,233.0
37.50377000,-121.898820,234.0
37.50375000,-121.898800,234.0
37.50372000,-121.898770,235.0
37.50370000,-121.898750,235.0
37.50368000,-121.898720,236.0
37.50366000,-121.898700,236.0
37.50364000,-121.898670,237.0
37.50361000,-121.898650,237.0
37.50358000,-121.898620,238.0
37.50355000,-121.898600,239.0
37.50353000,-121.898570,239.0
37.50350000,-121.898550,240.0
37.50348000,-121.898530,240.0
37.50345000,-121.898510,241.0
37.50342000,-121.898490,241.0
37.50339000,-121.898480,242.0
37.50335000,-121.898470,243.0
37.50332000,-121.898450,243.0
37.50329000,-121.898430,244.0
37.50326000,-121.898420,244.0
37.50323000,-121.898400,245.0
37.50320000,-121.898380,245.0
37.50317000,-121.898380,246.0
37.50313000,-121.898370,247.0
37.50310000,-121.898360,247.0
37.50307000,-121.898350,248.0
37.50305000,-121.898330,249.0
37.50303000,-121.898310,249.0
37.50301000,-121.898290,249.0
37.50298000,-121.898260,249.0
37.50295000,-121.898240,250.0
37.50293000,-121.898220,250.0
37.50291000,-121.898190,250.0
37.50289000,-121.898160,251.0
37.50287000,-121.898120,251.0
37.50286000,-121.898080,252.0
37.50285000,-121.898050,252.0
37.50284000,-121.898010,253.0
37.50284000,-121.897970,254.0
37.50283000,-121.897930,255.0
37.50283000,-121.897890,255.0
37.50285000,-121.897850,256.0
37.50286000,-121.897820,256.0
37.50287000,-121.897780,257.0
37.50289000,-121.897750,257.0
37.50290000,-121.897720,258.0
37.50291000,-121.897680,259.0
37.50292000,-121.897640,260.0
37.50293000,-121.897600,261.0
37.50294000,-121.897570,261.0
37.50296000,-121.897540,262.0
37.50297000,-121.897500,263.0
37.50298000,-121.897460,264.0
37.50298000,-121.897420,265.0
37.50300000,-121.897380,266.0
37.50301000,-121.897340,267.0
37.50302000,-121.897300,267.0
37.50303000,-121.897270,268.0
37.50305000,-121.897240,269.0
37.50307000,-121.897200,270.0
37.50308000,-121.897160,270.0
37.50309000,-121.897120,271.0
37.50311000,-121.897090,271.0
37.50313000,-121.897050,272.0
37.50314000,-121.897010,272.0
37.50316000,-121.896970,273.0
37.50317000,-121.896940,273.0
37.50319000,-121.896910,274.0
37.50321000,-121.896870,274.0
37.50323000,-121.896830,275.0
37.50324000,-121.896800,275.0
37.50326000,-121.896770,275.0
37.50327000,-121.896740,276.0
37.50329000,-121.896700,276.0
37.50331000,-121.896680,276.0
37.50333000,-121.896650,277.0
37.50334000,-121.896620,277.0
37.50335000,-121.896580,277.0
37.50336000,-121.896540,278.0
37.50336000,-121.896500,278.0
37.50337000,-121.896460,279.0
37.50337000,-121.896420,279.0
37.50337000,-121.896380,280.0
37.50336000,-121.896340,280.0
37.50335000,-121.896300,281.0
37.50334000,-121.896260,282.0
37.50332000,-121.896230,283.0
37.50330000,-121.896200,283.0
37.50329000,-121.896160,284.0
37.50327000,-121.896130,285.0
37.50326000,-121.896100,285.0
37.50325000,-121.896060,286.0
37.50323000,-121.896020,287.0
37.50322000,-121.895980,288.0
37.50321000,-121.895950,288.0
37.50318000,-121.895920,289.0
37.50317000,-121.895890,290.0
37.50316000,-121.895860,291.0
37.50314000,-121.895830,291.0
37.50314000,-121.895790,291.0
37.50313000,-121.895750,292.0
37.50312000,-121.895710,292.0
37.50312000,-121.895680,292.0
37.50311000,-121.895640,292.0
37.50310000,-121.895600,292.0
37.50308000,-121.895550,293.0
37.50307000,-121.895510,293.0
37.50305000,-121.895480,294.0
37.50304000,-121.895440,294.0
37.50302000,-121.895400,294.0
37.50300000,-121.895360,295.0
37.50299000,-121.895320,295.0
37.50297000,-121.895280,295.0
37.50296000,-121.895250,296.0
37.50293000,-121.895220,297.0
37.50291000,-121.895190,298.0
37.50289000,-121.895150,298.0
37.50287000,-121.895120,299.0
37.50285000,-121.895080,300.0
37.50283000,-121.895040,300.0
37.50281000,-121.895010,301.0
37.50280000,-121.894970,302.0
