Latitude,Longitude,Elevation
37.56296000,-122.512520,48.0
37.56298000,-122.512540,47.0
37.56298000,-122.512590,47.0
37.56295000,-122.512620,47.0
37.56292000,-122.512630,48.0
37.56289000,-122.512610,49.0
37.56288000,-122.512570,50.0
37.56287000,-122.512540,50.0
37.56287000,-122.512500,50.0
37.56287000,-122.512460,51.0
37.56287000,-122.512420,51.0
37.56286000,-122.512380,52.0
37.56286000,-122.512350,52.0
37.56285000,-122.512310,53.0
37.56285000,-122.512270,53.0
37.56285000,-122.512240,53.0
37.56284000,-122.512190,54.0
37.56284000,-122.512160,54.0
37.56285000,-122.512120,54.0
37.56285000,-122.512080,55.0
37.56286000,-122.512040,55.0
37.56287000,-122.512010,55.0
37.56287000,-122.511960,55.0
37.56286000,-122.511930,56.0
37.56285000,-122.511900,56.0
37.56285000,-122.511860,57.0
37.56284000,-122.511820,57.0
37.56284000,-122.511780,58.0
37.56285000,-122.511740,58.0
37.56285000,-122.511710,58.0
37.56284000,-122.511670,59.0
37.56284000,-122.511630,59.0
37.56283000,-122.511600,59.0
37.56282000,-122.511560,60.0
37.56282000,-122.511510,60.0
37.56281000,-122.511470,61.0
37.56281000,-122.511430,61.0
37.56280000,-122.511390,61.0
37.56279000,-122.511350,62.0
37.56278000,-122.511320,62.0
37.56275000,-122.511290,64.0
37.56272000,-122.511280,65.0
37.56271000,-122.511320,65.0
37.56271000,-122.511360,65.0
37.56272000,-122.511400,64.0
37.56271000,-122.511430,64.0
37.56271000,-122.511480,64.0
37.56271000,-122.511520,64.0
37.56271000,-122.511560,64.0
37.56270000,-122.511600,64.0
37.56270000,-122.511650,64.0
37.56268000,-122.511690,65.0
37.56266000,-122.511730,65.0
37.56264000,-122.511770,66.0
37.56262000,-122.511800,67.0
37.56260000,-122.511840,68.0
37.56259000,-122.511890,68.0
37.56258000,-122.511930,68.0
37.56257000,-122.511980,68.0
37.56256000,-122.512020,68.0
37.56256000,-122.512070,68.0
37.56255000,-122.512110,68.0
37.56254000,-122.512160,68.0
37.56254000,-122.512200,67.0
37.56254000,-122.512240,67.0
37.56254000,-122.512300,66.0
37.56254000,-122.512330,65.0
37.56254000,-122.512380,64.0
37.56253000,-122.512430,64.0
37.56252000,-122.512470,64.0
37.56252000,-122.512510,63.0
37.56252000,-122.512550,63.0
37.56252000,-122.512600,62.0
37.56252000,-122.512650,61.0
37.56252000,-122.512700,60.0
37.56252000,-122.512740,60.0
37.56250000,-122.512780,59.0
37.56248000,-122.512820,59.0
37.56246000,-122.512840,59.0
37.56243000,-122.512830,60.0
37.56240000,-122.512790,61.0
37.56239000,-122.512760,62.0
37.56237000,-122.512720,63.0
37.56236000,-122.512680,64.0
37.56236000,-122.512650,65.0
37.56235000,-122.512610,66.0
37.56235000,-122.512580,67.0
37.56234000,-122.512530,68.0
37.56233000,-122.512500,69.0
37.56232000,-122.512460,70.0
37.56231000,-122.512420,71.0
37.56230000,-122.512380,72.0
37.56229000,-122.512350,73.0
37.56229000,-122.512310,74.0
37.56229000,-122.512260,75.0
37.56228000,-122.512230,76.0
37.56227000,-122.512190,77.0
37.56226000,-122.512150,78.0
37.56225000,-122.512120,78.0
37.56223000,-122.512080,79.0
37.56220000,-122.512050,80.0
37.56217000,-122.512030,81.0
37.56214000,-122.512010,82.0
37.56214000,-122.511970,83.0
37.56213000,-122.511930,83.0
37.56211000,-122.511900,84.0
37.56210000,-122.511870,85.0
37.56208000,-122.511830,86.0
37.56206000,-122.511800,87.0
37.56207000,-122.511760,87.0
37.56206000,-122.511730,87.0
37.56205000,-122.511690,88.0
37.56204000,-122.511650,89.0
37.56204000,-122.511610,90.0
37.56203000,-122.511570,90.0
37.56201000,-122.511540,92.0
37.56199000,-122.511510,94.0
37.56197000,-122.511480,95.0
37.56196000,-122.511450,96.0
37.56195000,-122.511410,98.0
37.56193000,-122.511380,99.0
37.56190000,-122.511360,100.0
37.56189000,-122.511330,101.0
37.56187000,-122.511310,102.0
37.56184000,-122.511290,103.0
37.56182000,-122.511270,104.0
37.56180000,-122.511250,105.0
37.56177000,-122.511230,106.0
37.56175000,-122.511220,107.0
37.56171000,-122.511200,108.0
37.56168000,-122.511190,109.0
37.56165000,-122.511180,110.0
37.56162000,-122.511170,111.0
37.56159000,-122.511150,112.0
37.56157000,-122.511120,113.0
37.56154000,-122.511110,114.0
37.56152000,-122.511080,116.0
37.56151000,-122.511040,117.0
37.56149000,-122.511010,118.0
37.56147000,-122.510970,119.0
37.56146000,-122.510940,121.0
37.56144000,-122.510910,122.0
37.56142000,-122.510880,123.0
37.56140000,-122.510860,124.0
37.56139000,-122.510820,126.0
37.56138000,-122.510780,127.0
37.56137000,-122.510750,128.0
37.56136000,-122.510710,129.0
37.56135000,-122.510680,129.0
37.56134000,-122.510650,130.0
37.56133000,-122.510610,131.0
37.56132000,-122.510570,132.0
37.56131000,-122.510540,133.0
37.56130000,-122.510510,134.0
37.56129000,-122.510470,135.0
37.56129000,-122.510440,136.0
37.56127000,-122.510400,138.0
37.56126000,-122.510370,139.0
37.56126000,-122.510330,140.0
37.56124000,-122.510300,141.0
37.56122000,-122.510280,142.0
37.56119000,-122.510260,142.0
37.56117000,-122.510240,143.0
37.56114000,-122.510210,144.0
37.56112000,-122.510190,145.0
37.56111000,-122.510150,147.0
37.56109000,-122.510120,147.0
37.56108000,-122.510080,149.0
37.56107000,-122.510040,150.0
37.56106000,-122.510000,151.0
37.56106000,-122.509960,152.0
37.56104000,-122.509920,151.0
37.56104000,-122.509880,152.0
37.56105000,-122.509840,153.0
37.56104000,-122.509800,153.0
37.56105000,-122.509760,153.0
37.56108000,-122.509730,155.0
37.56110000,-122.509710,155.0
37.56113000,-122.509690,156.0
37.56116000,-122.509660,156.0
37.56118000,-122.509640,156.0
37.56121000,-122.509620,157.0
37.56124000,-122.509630,157.0
37.56123000,-122.509580,157.0
37.56124000,-122.509550,157.0
37.56127000,-122.509520,158.0
37.56130000,-122.509490,159.0
37.56133000,-122.509460,159.0
37.56135000,-122.509430,160.0
37.56138000,-122.509400,160.0
37.56141000,-122.509380,160.0
37.56143000,-122.509350,159.0
37.56146000,-122.509320,159.0
37.56149000,-122.509300,158.0
37.56152000,-122.509270,158.0
37.56154000,-122.509240,158.0
37.56157000,-122.509200,157.0
37.56159000,-122.509160,157.0
37.56161000,-122.509120,158.0
37.56164000,-122.509080,158.0
37.56166000,-122.509050,159.0
37.56168000,-122.509010,159.0
37.56169000,-122.508960,160.0
37.56170000,-122.508920,160.0
37.56172000,-122.508880,161.0
37.56173000,-122.508830,162.0
37.56174000,-122.508790,162.0
37.56175000,-122.508740,163.0
37.56176000,-122.508710,163.0
37.56178000,-122.508670,164.0
37.56180000,-122.508640,164.0
37.56181000,-122.508610,165.0
37.56183000,-122.508570,166.0
37.56185000,-122.508550,166.0
37.56187000,-122.508520,166.0
37.56189000,-122.508490,167.0
37.56190000,-122.508460,167.0
37.56192000,-122.508420,168.0
37.56194000,-122.508390,169.0
37.56195000,-122.508360,169.0
37.56197000,-122.508330,169.0
37.56199000,-122.508300,170.0
37.56200000,-122.508260,170.0
37.56202000,-122.508220,171.0
37.56204000,-122.508180,171.0
37.56206000,-122.508160,171.0
37.56207000,-122.508130,172.0
37.56209000,-122.508080,173.0
37.56210000,-122.508040,174.0
37.56211000,-122.508000,174.0
37.56213000,-122.507960,174.0
37.56215000,-122.507920,175.0
37.56217000,-122.507880,176.0
37.56220000,-122.507840,176.0
37.56221000,-122.507810,177.0
37.56223000,-122.507790,177.0
37.56226000,-122.507770,177.0
37.56229000,-122.507750,177.0
37.56232000,-122.507730,177.0
37.56234000,-122.507710,176.0
37.56236000,-122.507680,177.0
37.56238000,-122.507650,177.0
37.56241000,-122.507620,177.0
37.56244000,-122.507600,177.0
37.56246000,-122.507580,177.0
37.56249000,-122.507560,178.0
37.56251000,-122.507530,178.0
37.56253000,-122.507500,179.0
37.56255000,-122.507470,179.0
37.56258000,-122.507450,179.0
37.56261000,-122.507440,179.0
37.56265000,-122.507410,180.0
37.56267000,-122.507390,180.0
37.56269000,-122.507370,181.0
37.56272000,-122.507340,181.0
37.56275000,-122.507310,182.0
37.56278000,-122.507290,183.0
37.56280000,-122.507260,183.0
37.56283000,-122.507250,183.0
37.56284000,-122.507220,184.0
37.56287000,-122.507200,183.0
37.56290000,-122.507210,183.0
37.56293000,-122.507230,183.0
37.56296000,-122.507230,182.0
37.56299000,-122.507220,182.0
37.56302000,-122.507200,182.0
37.56304000,-122.507170,182.0
37.56307000,-122.507140,182.0
37.56309000,-122.507100,182.0
37.56311000,-122.507070,182.0
37.56314000,-122.507040,182.0
