Latitude,Longitude,Elevation
37.22445000,-113.405920,983.0
37.22446000,-113.405960,983.0
37.22446000,-113.406010,984.0
37.22446000,-113.406040,984.0
37.22446000,-113.406080,984.0
37.22446000,-113.406130,985.0
37.22447000,-113.406170,985.0
37.22447000,-113.406210,986.0
37.22447000,-113.406240,986.0
37.22448000,-113.406280,986.0
37.22449000,-113.406320,987.0
37.22450000,-113.406360,987.0
37.22452000,-113.406380,987.0
37.22455000,-113.406420,987.0
37.22457000,-113.406440,987.0
37.22460000,-113.406460,987.0
37.22462000,-113.406490,987.0
37.22465000,-113.406510,987.0
37.22468000,-113.406530,986.0
37.22471000,-113.406570,986.0
37.22473000,-113.406610,986.0
37.22475000,-113.406640,986.0
37.22477000,-113.406680,986.0
37.22480000,-113.406710,986.0
37.22482000,-113.406750,987.0
37.22484000,-113.406780,987.0
37.22486000,-113.406810,988.0
37.22488000,-113.406850,988.0
37.22490000,-113.406860,988.0
37.22494000,-113.406860,988.0
37.22496000,-113.406870,988.0
37.22500000,-113.406900,988.0
37.22502000,-113.406910,988.0
37.22506000,-113.406930,988.0
37.22508000,-113.406950,988.0
37.22511000,-113.406980,989.0
37.22514000,-113.406990,989.0
37.22516000,-113.407010,990.0
37.22519000,-113.407030,990.0
37.22521000,-113.407060,990.0
37.22523000,-113.407090,990.0
37.22526000,-113.407110,990.0
37.22529000,-113.407130,990.0
37.22532000,-113.407140,990.0
37.22535000,-113.407170,991.0
37.22536000,-113.407210,991.0
37.22538000,-113.407250,992.0
37.22540000,-113.407290,992.0
37.22541000,-113.407320,993.0
37.22543000,-113.407360,994.0
37.22546000,-113.407370,994.0
37.22550000,-113.407390,993.0
37.22552000,-113.407410,994.0
37.22555000,-113.407440,994.0
37.22558000,-113.407460,994.0
37.22561000,-113.407480,994.0
37.22563000,-113.407510,994.0
37.22566000,-113.407520,994.0
37.22569000,-113.407540,993.0
37.22571000,-113.407570,993.0
37.22573000,-113.407600,993.0
37.22575000,-113.407640,994.0
37.22577000,-113.407660,993.0
37.22579000,-113.407700,994.0
37.22580000,-113.407740,994.0
37.22581000,-113.407770,994.0
37.22583000,-113.407800,993.0
37.22585000,-113.407840,993.0
37.22588000,-113.407880,993.0
37.22589000,-113.407920,993.0
37.22589000,-113.407960,993.0
37.22591000,-113.407980,992.0
37.22594000,-113.408000,992.0
37.22596000,-113.408030,992.0
37.22597000,-113.408060,992.0
37.22599000,-113.408090,992.0
37.22601000,-113.408110,992.0
37.22604000,-113.408130,992.0
37.22607000,-113.408150,992.0
37.22609000,-113.408160,992.0
37.22612000,-113.408170,992.0
37.22616000,-113.408160,992.0
37.22619000,-113.408140,992.0
37.22622000,-113.408140,993.0
37.22625000,-113.408150,993.0
37.22629000,-113.408160,993.0
37.22631000,-113.408180,993.0
37.22633000,-113.408220,993.0
37.22636000,-113.408260,994.0
37.22639000,-113.408290,994.0
37.22641000,-113.408320,994.0
37.22643000,-113.408330,994.0
37.22647000,-113.408340,995.0
37.22650000,-113.408360,995.0
37.22653000,-113.408370,995.0
37.22657000,-113.408400,995.0
37.22658000,-113.408430,995.0
37.22660000,-113.408460,995.0
37.22663000,-113.408490,995.0
37.22666000,-113.408520,995.0
37.22668000,-113.408550,995.0
37.22669000,-113.408580,995.0
37.22671000,-113.408610,995.0
37.22671000,-113.408660,996.0
37.22672000,-113.408690,997.0
37.22672000,-113.408730,997.0
37.22673000,-113.408760,997.0
37.22675000,-113.408810,998.0
37.22675000,-113.408840,998.0
37.22676000,-113.408880,999.0
37.22677000,-113.408920,1000.0
37.22678000,-113.408970,1002.0
37.22679000,-113.409020,1003.0
37.22681000,-113.409050,1004.0
37.22684000,-113.409050,1003.0
37.22687000,-113.409060,1002.0
37.22690000,-113.409070,1002.0
37.22693000,-113.409080,1001.0
37.22696000,-113.409100,1000.0
37.22698000,-113.409130,1000.0
37.22700000,-113.409160,1000.0
37.22703000,-113.409190,999.0
37.22705000,-113.409180,999.0
37.22708000,-113.409180,998.0
37.22711000,-113.409180,997.0
37.22714000,-113.409190,997.0
37.22717000,-113.409220,996.0
37.22720000,-113.409250,995.0
37.22723000,-113.409270,994.0
37.22726000,-113.409290,994.0
37.22729000,-113.409300,994.0
37.22732000,-113.409310,994.0
37.22733000,-113.409330,994.0
37.22735000,-113.409370,994.0
37.22736000,-113.409400,994.0
37.22739000,-113.409430,994.0
37.22741000,-113.409460,994.0
37.22742000,-113.409490,994.0
37.22741000,-113.409530,994.0
37.22740000,-113.409570,994.0
37.22740000,-113.409610,995.0
37.22740000,-113.409640,995.0
37.22741000,-113.409680,995.0
37.22742000,-113.409720,995.0
37.22742000,-113.409760,995.0
37.22742000,-113.409800,996.0
37.22741000,-113.409830,997.0
37.22739000,-113.409860,998.0
37.22737000,-113.409890,999.0
37.22738000,-113.409920,999.0
37.22738000,-113.409960,999.0
37.22738000,-113.410000,1000.0
37.22738000,-113.410030,1001.0
37.22737000,-113.410070,1003.0
37.22738000,-113.410100,1004.0
37.22739000,-113.410140,1005.0
37.22740000,-113.410180,1005.0
37.22740000,-113.410210,1006.0
37.22739000,-113.410260,1009.0
37.22739000,-113.410290,1010.0
37.22740000,-113.410330,1011.0
37.22741000,-113.410370,1012.0
37.22743000,-113.410410,1011.0
37.22744000,-113.410440,1012.0
37.22744000,-113.410480,1013.0
37.22747000,-113.410500,1011.0
37.22750000,-113.410510,1009.0
37.22753000,-113.410530,1009.0
37.22755000,-113.410550,1008.0
37.22758000,-113.410580,1008.0
37.22758000,-113.410620,1010.0
37.22759000,-113.410650,1010.0
37.22760000,-113.410690,1011.0
37.22763000,-113.410720,1011.0
37.22764000,-113.410750,1011.0
37.22765000,-113.410780,1012.0
37.22766000,-113.410810,1012.0
37.22768000,-113.410840,1013.0
37.22771000,-113.410850,1012.0
37.22774000,-113.410870,1012.0
37.22776000,-113.410870,1011.0
37.22780000,-113.410870,1010.0
37.22781000,-113.410900,1012.0
37.22784000,-113.410930,1013.0
37.22786000,-113.410960,1015.0
37.22788000,-113.410970,1015.0
37.22792000,-113.410950,1014.0
37.22794000,-113.410940,1013.0
37.22796000,-113.410960,1013.0
37.22795000,-113.410930,1012.0
37.22797000,-113.410900,1010.0
37.22800000,-113.410870,1009.0
37.22802000,-113.410840,1008.0
37.22806000,-113.410830,1007.0
37.22810000,-113.410820,1008.0
37.22814000,-113.410810,1008.0
37.22816000,-113.410780,1008.0
37.22819000,-113.410760,1008.0
37.22823000,-113.410750,1009.0
37.22826000,-113.410730,1009.0
37.22830000,-113.410730,1010.0
37.22832000,-113.410760,1011.0
37.22835000,-113.410790,1012.0
37.22838000,-113.410810,1012.0
37.22842000,-113.410820,1012.0
37.22846000,-113.410820,1013.0
37.22849000,-113.410820,1013.0
37.22853000,-113.410830,1014.0
37.22855000,-113.410840,1014.0
37.22858000,-113.410830,1014.0
37.22861000,-113.410820,1015.0
37.22864000,-113.410820,1015.0
37.22868000,-113.410830,1015.0
37.22871000,-113.410840,1015.0
37.22874000,-113.410840,1016.0
37.22877000,-113.410850,1016.0
37.22880000,-113.410870,1017.0
37.22882000,-113.410880,1017.0
37.22886000,-113.410900,1017.0
37.22889000,-113.410910,1018.0
37.22891000,-113.410940,1019.0
37.22890000,-113.410980,1019.0
37.22888000,-113.411020,1019.0
37.22886000,-113.411050,1020.0
37.22886000,-113.411090,1020.0
37.22889000,-113.411120,1021.0
37.22892000,-113.411120,1021.0
37.22895000,-113.411130,1021.0
37.22896000,-113.411170,1022.0
37.22896000,-113.411220,1022.0
37.22896000,-113.411250,1022.0
37.22893000,-113.411270,1023.0
37.22892000,-113.411310,1024.0
37.22892000,-113.411340,1024.0
37.22891000,-113.411380,1025.0
37.22896000,-113.411390,1024.0
37.22899000,-113.411390,1023.0
37.22903000,-113.411390,1022.0
37.22906000,-113.411400,1022.0
37.22909000,-113.411390,1021.0
37.22910000,-113.411350,1021.0
37.22909000,-113.411320,1021.0
37.22907000,-113.411290,1022.0
37.22904000,-113.411280,1022.0
37.22901000,-113.411280,1022.0
37.22897000,-113.411300,1023.0
37.22896000,-113.411340,1023.0
37.22896000,-113.411380,1024.0
37.22896000,-113.411410,1024.0
37.22897000,-113.411450,1024.0
37.22897000,-113.411500,1024.0
37.22897000,-113.411540,1024.0
37.22896000,-113.411590,1025.0
37.22896000,-113.411640,1025.0
37.22895000,-113.411690,1025.0
37.22895000,-113.411720,1025.0
37.22896000,-113.411750,1025.0
37.22898000,-113.411780,1025.0
37.22904000,-113.411790,1025.0
37.22907000,-113.411790,1025.0
37.22908000,-113.411840,1026.0
37.22907000,-113.411880,1026.0
37.22905000,-113.411910,1026.0
37.22903000,-113.411940,1027.0
37.22903000,-113.411980,1027.0
37.22907000,-113.411990,1028.0
37.22909000,-113.412020,1029.0
37.22910000,-113.412050,1029.0
37.22910000,-113.412090,1030.0
37.22910000,-113.412130,1030.0
37.22908000,-113.412150,1030.0
37.22907000,-113.412180,1030.0
37.22907000,-113.412220,1031.0
37.22905000,-113.412250,1031.0
37.22902000,-113.412270,1030.0
37.22900000,-113.412300,1030.0
37.22897000,-113.412320,1029.0
37.22894000,-113.412330,1028.0
37.22891000,-113.412330,1027.0
37.22890000,-113.412370,1027.0
37.22888000,-113.412400,1027.0
37.22887000,-113.412370,1027.0
37.22888000,-113.412410,1027.0
37.22886000,-113.412440,1027.0
37.22889000,-113.412420,1027.0
37.22890000,-113.412450,1028.0
37.22887000,-113.412410,1027.0
37.22883000,-113.412390,1026.0
37.22880000,-113.412360,1026.0
37.22877000,-113.412340,1026.0
37.22879000,-113.412310,1027.0
37.22884000,-113.412290,1027.0
37.22887000,-113.412300,1027.0
37.22888000,-113.412330,1027.0
37.22889000,-113.412360,1027.0
37.22889000,-113.412400,1027.0
37.22893000,-113.412350,1028.0
37.22898000,-113.412340,1029.0
37.22900000,-113.412310,1030.0
37.22902000,-113.412280,1030.0
37.22905000,-113.412260,1031.0
37.22907000,-113.412250,1031.0
37.22909000,-113.412200,1031.0
37.22910000,-113.412170,1031.0
37.22911000,-113.412130,1031.0
37.22913000,-113.412090,1030.0
37.22912000,-113.412040,1029.0
37.22909000,-113.412010,1028.0
37.22907000,-113.411970,1027.0
37.22906000,-113.411930,1027.0
37.22905000,-113.411900,1026.0
37.22903000,-113.411870,1026.0
37.22901000,-113.411840,1025.0
37.22900000,-113.411800,1025.0
37.22899000,-113.411760,1025.0
37.22898000,-113.411710,1025.0
37.22898000,-113.411670,1025.0
37.22899000,-113.411630,1024.0
37.22898000,-113.411590,1024.0
37.22899000,-113.411550,1024.0
37.22899000,-113.411510,1024.0
37.22899000,-113.411470,1024.0
37.22901000,-113.411440,1023.0
37.22899000,-113.411410,1023.0
37.22897000,-113.411380,1024.0
37.22897000,-113.411350,1023.0
37.22900000,-113.411350,1023.0
37.22903000,-113.411350,1022.0
37.22900000,-113.411350,1023.0
37.22900000,-113.411310,1023.0
37.22899000,-113.411270,1022.0
37.22899000,-113.411240,1022.0
37.22898000,-113.411200,1022.0
37.22896000,-113.411160,1022.0
37.22893000,-113.411150,1021.0
37.22891000,-113.411130,1021.0
37.22889000,-113.411090,1020.0
37.22886000,-113.411070,1020.0
37.22883000,-113.411060,1020.0
37.22881000,-113.411030,1020.0
37.22880000,-113.411000,1019.0
37.22880000,-113.410970,1019.0
37.22881000,-113.410940,1018.0
37.22881000,-113.410900,1017.0
37.22877000,-113.410870,1017.0
37.22874000,-113.410840,1016.0
37.22872000,-113.410830,1015.0
37.22869000,-113.410820,1015.0
37.22866000,-113.410810,1015.0
37.22863000,-113.410810,1015.0
37.22860000,-113.410810,1015.0
37.22857000,-113.410810,1014.0
37.22854000,-113.410820,1014.0
37.22850000,-113.410830,1013.0
37.22847000,-113.410820,1013.0
37.22843000,-113.410800,1013.0
37.22839000,-113.410790,1012.0
37.22836000,-113.410770,1012.0
37.22832000,-113.410760,1011.0
37.22828000,-113.410750,1010.0
37.22825000,-113.410720,1009.0
37.22823000,-113.410680,1008.0
37.22819000,-113.410680,1007.0
37.22817000,-113.410700,1007.0
37.22814000,-113.410720,1006.0
37.22812000,-113.410750,1007.0
37.22808000,-113.410770,1006.0
37.22807000,-113.410800,1007.0
37.22803000,-113.410820,1007.0
37.22800000,-113.410820,1007.0
37.22796000,-113.410840,1008.0
37.22794000,-113.410870,1009.0
37.22792000,-113.410910,1012.0
37.22789000,-113.410930,1013.0
37.22786000,-113.410960,1015.0
37.22784000,-113.411000,1018.0
37.22782000,-113.411010,1019.0
37.22780000,-113.410960,1016.0
37.22779000,-113.410930,1014.0
37.22777000,-113.410890,1012.0
37.22774000,-113.410850,1010.0
37.22771000,-113.410850,1012.0
37.22768000,-113.410850,1013.0
37.22764000,-113.410850,1015.0
