Latitude,Longitude,Elevation
37.83227000,-122.539220,6.0
37.83227000,-122.539270,5.0
37.83226000,-122.539320,5.0
37.83226000,-122.539360,5.0
37.83226000,-122.539390,5.0
37.83226000,-122.539430,5.0
37.83226000,-122.539470,5.0
37.83226000,-122.539510,5.0
37.83226000,-122.539550,4.0
37.83226000,-122.539580,4.0
37.83226000,-122.539620,4.0
37.83226000,-122.539660,4.0
37.83227000,-122.539700,4.0
37.83228000,-122.539740,4.0
37.83230000,-122.539780,5.0
37.83230000,-122.539820,5.0
37.83231000,-122.539860,5.0
37.83232000,-122.539900,5.0
37.83232000,-122.539940,5.0
37.83232000,-122.539980,5.0
37.83232000,-122.540020,6.0
37.83232000,-122.540060,6.0
37.83233000,-122.540100,6.0
37.83234000,-122.540140,6.0
37.83236000,-122.540170,7.0
37.83238000,-122.540210,7.0
37.83240000,-122.540250,7.0
37.83242000,-122.540290,8.0
37.83244000,-122.540330,8.0
37.83246000,-122.540360,9.0
37.83249000,-122.540400,9.0
37.83251000,-122.540430,10.0
37.83254000,-122.540460,10.0
37.83257000,-122.540490,11.0
37.83260000,-122.540520,11.0
37.83263000,-122.540540,11.0
37.83266000,-122.540570,12.0
37.83269000,-122.540600,12.0
37.83272000,-122.540630,13.0
37.83275000,-122.540660,13.0
37.83278000,-122.540690,14.0
37.83281000,-122.540720,14.0
37.83284000,-122.540740,15.0
37.83288000,-122.540760,15.0
37.83291000,-122.540790,16.0
37.83294000,-122.540810,16.0
37.83297000,-122.540830,17.0
37.83300000,-122.540850,17.0
37.83303000,-122.540870,18.0
37.83307000,-122.540890,18.0
37.83310000,-122.540910,19.0
37.83313000,-122.540930,19.0
37.83317000,-122.540950,20.0
37.83320000,-122.540970,20.0
37.83322000,-122.540990,20.0
37.83325000,-122.541010,21.0
37.83328000,-122.541040,21.0
37.83331000,-122.541060,22.0
37.83334000,-122.541090,22.0
37.83336000,-122.541100,23.0
37.83339000,-122.541130,23.0
37.83342000,-122.541150,24.0
37.83345000,-122.541170,24.0
37.83349000,-122.541200,25.0
37.83351000,-122.541230,25.0
37.83354000,-122.541250,26.0
37.83357000,-122.541270,26.0
37.83359000,-122.541300,27.0
37.83362000,-122.541330,28.0
37.83365000,-122.541360,28.0
37.83367000,-122.541380,28.0
37.83370000,-122.541400,28.0
37.83373000,-122.541420,28.0
37.83376000,-122.541450,29.0
37.83377000,-122.541480,29.0
37.83379000,-122.541510,29.0
