Latitude,Longitude,Elevation
37.86250000,-122.244160,137.0
37.86253000,-122.244160,138.0
37.86256000,-122.244140,139.0
37.86259000,-122.244110,141.0
37.86261000,-122.244090,143.0
37.86265000,-122.244070,144.0
37.86269000,-122.244070,146.0
37.86271000,-122.244080,146.0
37.86275000,-122.244100,147.0
37.86278000,-122.244110,148.0
37.86281000,-122.244130,149.0
37.86284000,-122.244150,150.0
37.86286000,-122.244190,150.0
37.86289000,-122.244210,151.0
37.86292000,-122.244210,152.0
37.86295000,-122.244200,154.0
37.86298000,-122.244200,155.0
37.86301000,-122.244190,156.0
37.86304000,-122.244200,158.0
37.86301000,-122.244220,156.0
37.86298000,-122.244230,155.0
37.86295000,-122.244240,154.0
37.86292000,-122.244240,152.0
37.86289000,-122.244240,151.0
37.86286000,-122.244230,150.0
37.86283000,-122.244200,149.0
37.86281000,-122.244190,148.0
37.86283000,-122.244200,149.0
37.86287000,-122.244220,150.0
37.86290000,-122.244240,152.0
37.86294000,-122.244240,153.0
37.86298000,-122.244240,155.0
37.86301000,-122.244230,156.0
37.86304000,-122.244230,158.0
37.86306000,-122.244250,158.0
37.86309000,-122.244260,160.0
37.86312000,-122.244270,161.0
37.86315000,-122.244280,162.0
37.86317000,-122.244280,163.0
37.86321000,-122.244280,165.0
37.86325000,-122.244280,166.0
37.86328000,-122.244310,167.0
37.86329000,-122.244350,167.0
37.86332000,-122.244370,168.0
37.86335000,-122.244390,169.0
37.86338000,-122.244400,170.0
37.86341000,-122.244400,171.0
37.86344000,-122.244400,172.0
37.86347000,-122.244410,172.0
37.86351000,-122.244420,173.0
37.86355000,-122.244430,174.0
37.86357000,-122.244440,175.0
37.86361000,-122.244450,175.0
37.86364000,-122.244460,176.0
37.86368000,-122.244480,177.0
37.86371000,-122.244490,177.0
37.86374000,-122.244500,178.0
37.86377000,-122.244510,178.0
37.86381000,-122.244520,179.0
37.86380000,-122.244480,180.0
37.86377000,-122.244460,180.0
37.86374000,-122.244440,179.0
37.86372000,-122.244430,179.0
37.86369000,-122.244410,179.0
37.86367000,-122.244370,179.0
37.86365000,-122.244350,180.0
37.86363000,-122.244320,180.0
37.86360000,-122.244290,180.0
37.86357000,-122.244260,180.0
37.86354000,-122.244230,179.0
37.86351000,-122.244200,179.0
37.86348000,-122.244170,178.0
37.86347000,-122.244120,179.0
37.86345000,-122.244080,179.0
37.86342000,-122.244060,178.0
37.86340000,-122.244050,177.0
37.86338000,-122.244020,177.0
37.86336000,-122.243990,177.0
37.86334000,-122.243950,177.0
37.86333000,-122.243920,178.0
37.86331000,-122.243880,178.0
37.86329000,-122.243840,177.0
37.86328000,-122.243800,177.0
37.86327000,-122.243770,177.0
37.86326000,-122.243740,177.0
37.86325000,-122.243700,177.0
37.86323000,-122.243670,177.0
37.86322000,-122.243630,177.0
37.86321000,-122.243600,177.0
37.86320000,-122.243560,178.0
37.86320000,-122.243530,179.0
37.86320000,-122.243490,180.0
37.86318000,-122.243450,180.0
37.86317000,-122.243420,181.0
37.86316000,-122.243380,182.0
37.86315000,-122.243350,182.0
37.86314000,-122.243310,183.0
37.86314000,-122.243270,184.0
37.86312000,-122.243240,184.0
37.86312000,-122.243200,185.0
37.86312000,-122.243160,186.0
37.86313000,-122.243130,187.0
37.86314000,-122.243100,188.0
37.86314000,-122.243060,189.0
37.86313000,-122.243020,190.0
37.86314000,-122.242980,192.0
37.86314000,-122.242940,193.0
37.86315000,-122.242900,196.0
37.86315000,-122.242860,197.0
37.86316000,-122.242820,199.0
37.86317000,-122.242790,200.0
37.86317000,-122.242740,203.0
37.86318000,-122.242700,205.0
37.86318000,-122.242670,207.0
37.86318000,-122.242630,209.0
37.86318000,-122.242590,211.0
37.86318000,-122.242560,212.0
37.86320000,-122.242510,216.0
37.86322000,-122.242480,218.0
37.86323000,-122.242450,219.0
37.86325000,-122.242420,221.0
37.86328000,-122.242390,223.0
37.86331000,-122.242370,224.0
37.86334000,-122.242360,226.0
37.86337000,-122.242340,227.0
37.86340000,-122.242340,228.0
37.86342000,-122.242360,228.0
37.86344000,-122.242390,227.0
37.86346000,-122.242420,227.0
37.86347000,-122.242460,226.0
37.86349000,-122.242500,226.0
37.86349000,-122.242530,225.0
37.86351000,-122.242570,223.0
37.86353000,-122.242620,222.0
37.86355000,-122.242650,221.0
37.86355000,-122.242680,220.0
37.86356000,-122.242720,219.0
37.86357000,-122.242750,219.0
37.86360000,-122.242760,220.0
37.86362000,-122.242780,220.0
37.86365000,-122.242810,219.0
37.86368000,-122.242830,219.0
37.86371000,-122.242840,219.0
37.86373000,-122.242860,219.0
37.86376000,-122.242870,220.0
37.86379000,-122.242880,220.0
37.86382000,-122.242890,221.0
37.86384000,-122.242910,221.0
37.86387000,-122.242920,221.0
37.86389000,-122.242960,221.0
37.86391000,-122.243010,220.0
37.86392000,-122.243050,219.0
37.86394000,-122.243080,219.0
37.86396000,-122.243100,219.0
37.86398000,-122.243140,218.0
37.86400000,-122.243170,218.0
37.86401000,-122.243200,217.0
37.86403000,-122.243240,216.0
37.86406000,-122.243270,216.0
37.86408000,-122.243300,215.0
37.86411000,-122.243320,215.0
37.86414000,-122.243330,215.0
37.86417000,-122.243340,215.0
37.86420000,-122.243360,215.0
37.86423000,-122.243360,215.0
37.86426000,-122.243360,215.0
37.86429000,-122.243350,216.0
37.86431000,-122.243320,217.0
37.86434000,-122.243300,217.0
37.86434000,-122.243260,218.0
37.86431000,-122.243230,219.0
37.86428000,-122.243200,220.0
37.86426000,-122.243180,221.0
37.86423000,-122.243150,222.0
37.86421000,-122.243130,222.0
37.86419000,-122.243110,223.0
37.86417000,-122.243080,224.0
37.86415000,-122.243040,225.0
37.86414000,-122.243000,226.0
37.86414000,-122.242970,226.0
37.86413000,-122.242930,227.0
37.86413000,-122.242890,228.0
37.86413000,-122.242850,229.0
37.86414000,-122.242810,231.0
37.86415000,-122.242770,232.0
37.86417000,-122.242730,233.0
37.86417000,-122.242700,234.0
37.86418000,-122.242670,235.0
37.86420000,-122.242630,235.0
37.86422000,-122.242610,236.0
37.86424000,-122.242590,236.0
37.86426000,-122.242560,237.0
37.86427000,-122.242520,238.0
37.86426000,-122.242490,239.0
37.86425000,-122.242450,239.0
37.86426000,-122.242410,240.0
37.86427000,-122.242380,240.0
37.86428000,-122.242330,241.0
37.86429000,-122.242300,242.0
37.86430000,-122.242260,242.0
37.86428000,-122.242230,243.0
37.86427000,-122.242200,243.0
37.86428000,-122.242160,244.0
37.86428000,-122.242130,244.0
37.86426000,-122.242090,245.0
37.86425000,-122.242060,245.0
37.86424000,-122.242020,246.0
37.86424000,-122.241980,247.0
37.86423000,-122.241940,247.0
37.86421000,-122.241910,248.0
37.86420000,-122.241880,249.0
37.86418000,-122.241850,250.0
37.86416000,-122.241820,250.0
37.86415000,-122.241780,252.0
37.86414000,-122.241740,253.0
37.86413000,-122.241710,254.0
37.86412000,-122.241670,255.0
37.86412000,-122.241630,255.0
37.86411000,-122.241590,256.0
37.86410000,-122.241550,256.0
37.86409000,-122.241520,256.0
37.86407000,-122.241490,256.0
37.86404000,-122.241460,256.0
37.86402000,-122.241430,256.0
37.86400000,-122.241390,256.0
37.86399000,-122.241360,256.0
37.86397000,-122.241330,255.0
37.86396000,-122.241300,255.0
37.86395000,-122.241260,255.0
37.86394000,-122.241230,255.0
37.86394000,-122.241190,255.0
37.86394000,-122.241160,255.0
37.86395000,-122.241110,255.0
37.86395000,-122.241070,255.0
37.86396000,-122.241030,256.0
37.86397000,-122.240990,256.0
37.86397000,-122.240940,256.0
37.86398000,-122.240900,256.0
37.86400000,-122.240870,257.0
37.86402000,-122.240850,258.0
37.86405000,-122.240830,259.0
37.86407000,-122.240800,259.0
37.86409000,-122.240770,260.0
37.86412000,-122.240750,260.0
37.86415000,-122.240730,261.0
37.86418000,-122.240710,262.0
37.86421000,-122.240700,262.0
37.86424000,-122.240690,263.0
37.86427000,-122.240690,264.0
37.86430000,-122.240690,264.0
37.86434000,-122.240700,265.0
37.86437000,-122.240700,266.0
37.86440000,-122.240700,267.0
37.86443000,-122.240700,267.0
37.86446000,-122.240700,268.0
37.86448000,-122.240730,268.0
37.86451000,-122.240740,268.0
37.86454000,-122.240740,269.0
37.86457000,-122.240730,269.0
37.86460000,-122.240710,269.0
37.86463000,-122.240700,270.0
37.86466000,-122.240690,270.0
37.86469000,-122.240690,271.0
37.86472000,-122.240690,271.0
37.86475000,-122.240660,272.0
37.86478000,-122.240650,272.0
37.86481000,-122.240650,273.0
37.86484000,-122.240630,274.0
37.86487000,-122.240610,274.0
37.86490000,-122.240600,275.0
37.86492000,-122.240570,276.0
37.86495000,-122.240560,276.0
37.86498000,-122.240550,277.0
37.86501000,-122.240520,276.0
37.86503000,-122.240500,276.0
37.86506000,-122.240490,277.0
37.86509000,-122.240500,277.0
37.86511000,-122.240520,278.0
37.86515000,-122.240520,279.0
37.86518000,-122.240520,279.0
37.86521000,-122.240530,280.0
37.86524000,-122.240540,281.0
37.86527000,-122.240540,281.0
37.86530000,-122.240530,281.0
37.86533000,-122.240530,282.0
37.86536000,-122.240540,282.0
37.86539000,-122.240540,282.0
37.86542000,-122.240540,282.0
37.86544000,-122.240570,282.0
37.86546000,-122.240610,281.0
37.86548000,-122.240580,282.0
37.86549000,-122.240560,282.0
37.86552000,-122.240530,283.0
37.86555000,-122.240520,283.0
37.86559000,-122.240510,283.0
37.86562000,-122.240490,283.0
37.86566000,-122.240480,284.0
37.86569000,-122.240470,284.0
37.86571000,-122.240450,284.0
37.86573000,-122.240430,285.0
37.86575000,-122.240400,286.0
37.86578000,-122.240380,287.0
37.86581000,-122.240350,288.0
37.86583000,-122.240320,290.0
37.86584000,-122.240280,291.0
37.86585000,-122.240250,292.0
37.86587000,-122.240220,293.0
37.86589000,-122.240190,293.0
37.86591000,-122.240170,294.0
37.86592000,-122.240140,294.0
37.86594000,-122.240120,295.0
37.86596000,-122.240090,296.0
37.86598000,-122.240060,297.0
37.86600000,-122.240030,298.0
37.86601000,-122.239990,300.0
37.86603000,-122.239970,301.0
37.86604000,-122.239930,302.0
37.86606000,-122.239900,304.0
37.86609000,-122.239880,305.0
37.86610000,-122.239840,307.0
37.86612000,-122.239810,308.0
37.86615000,-122.239790,309.0
37.86617000,-122.239760,311.0
37.86619000,-122.239730,312.0
37.86621000,-122.239710,313.0
37.86623000,-122.239680,315.0
37.86625000,-122.239650,316.0
37.86627000,-122.239630,317.0
37.86629000,-122.239610,318.0
37.86632000,-122.239580,320.0
37.86634000,-122.239550,321.0
37.86636000,-122.239520,323.0
37.86638000,-122.239490,325.0
37.86640000,-122.239470,326.0
37.86642000,-122.239440,327.0
37.86644000,-122.239410,328.0
37.86645000,-122.239380,328.0
37.86648000,-122.239360,329.0
37.86649000,-122.239320,330.0
37.86651000,-122.239290,330.0
37.86654000,-122.239260,331.0
37.86656000,-122.239240,332.0
37.86659000,-122.239230,332.0
37.86660000,-122.239200,333.0
37.86663000,-122.239180,334.0
37.86665000,-122.239160,334.0
37.86668000,-122.239160,335.0
37.86671000,-122.239130,335.0
37.86674000,-122.239110,335.0
37.86677000,-122.239090,335.0
37.86680000,-122.239080,336.0
37.86683000,-122.239070,336.0
37.86686000,-122.239070,337.0
37.86689000,-122.239050,337.0
37.86692000,-122.239040,338.0
37.86694000,-122.239040,338.0
37.86697000,-122.239030,339.0
37.86701000,-122.239020,339.0
37.86704000,-122.239020,340.0
37.86707000,-122.239030,340.0
37.86710000,-122.239020,341.0
37.86713000,-122.239010,342.0
37.86716000,-122.238980,343.0
37.86718000,-122.238960,344.0
37.86721000,-122.238930,345.0
37.86723000,-122.238910,345.0
37.86726000,-122.238880,346.0
37.86729000,-122.238860,347.0
37.86732000,-122.238850,348.0
37.86735000,-122.238830,349.0
37.86738000,-122.238810,349.0
37.86740000,-122.238790,350.0
37.86743000,-122.238770,351.0
37.86746000,-122.238770,352.0
37.86749000,-122.238750,353.0
37.86753000,-122.238730,354.0
37.86755000,-122.238720,354.0
37.86757000,-122.238690,355.0
37.86758000,-122.238640,356.0
37.86761000,-122.238630,357.0
37.86765000,-122.238620,358.0
37.86767000,-122.238600,359.0
37.86769000,-122.238570,359.0
37.86772000,-122.238550,360.0
37.86774000,-122.238510,361.0
37.86775000,-122.238480,361.0
37.86777000,-122.238440,362.0
37.86778000,-122.238410,362.0
37.86778000,-122.238360,362.0
37.86778000,-122.238320,363.0
37.86779000,-122.238280,363.0
37.86779000,-122.238240,363.0
37.86780000,-122.238200,363.0
37.86780000,-122.238160,363.0
37.86779000,-122.238120,363.0
37.86778000,-122.238080,363.0
37.86777000,-122.238050,362.0
37.86777000,-122.238010,363.0
37.86777000,-122.237970,363.0
37.86776000,-122.237940,363.0
37.86776000,-122.237900,363.0
37.86777000,-122.237860,364.0
37.86777000,-122.237810,365.0
37.86776000,-122.237780,365.0
37.86776000,-122.237730,365.0
37.86776000,-122.237690,365.0
37.86776000,-122.237650,365.0
37.86776000,-122.237610,365.0
37.86776000,-122.237580,365.0
37.86775000,-122.237540,364.0
37.86775000,-122.237500,364.0
37.86774000,-122.237460,363.0
37.86773000,-122.237410,363.0
37.86772000,-122.237380,362.0
37.86772000,-122.237340,362.0
37.86771000,-122.237300,362.0
37.86769000,-122.237260,361.0
37.86769000,-122.237230,361.0
37.86768000,-122.237180,361.0
37.86766000,-122.237140,360.0
37.86765000,-122.237100,359.0
37.86764000,-122.237060,359.0
37.86764000,-122.237010,358.0
37.86764000,-122.236960,358.0
37.86764000,-122.236930,358.0
37.86763000,-122.236890,358.0
37.86763000,-122.236860,358.0
37.86763000,-122.236810,358.0
37.86763000,-122.236780,358.0
37.86765000,-122.236730,358.0
37.86765000,-122.236690,359.0
37.86767000,-122.236650,359.0
37.86769000,-122.236620,359.0
37.86771000,-122.236570,359.0
37.86773000,-122.236530,359.0
37.86774000,-122.236480,359.0
37.86775000,-122.236450,359.0
37.86777000,-122.236410,359.0
37.86778000,-122.236380,358.0
37.86780000,-122.236340,358.0
37.86781000,-122.236310,358.0
37.86784000,-122.236270,358.0
37.86786000,-122.236230,357.0
37.86788000,-122.236190,357.0
37.86790000,-122.236170,358.0
37.86792000,-122.236140,358.0
37.86795000,-122.236110,358.0
37.86799000,-122.236100,358.0
37.86803000,-122.236100,359.0
37.86806000,-122.236110,359.0
37.86809000,-122.236110,359.0
37.86812000,-122.236090,359.0
37.86815000,-122.236070,359.0
37.86818000,-122.236070,359.0
37.86821000,-122.236060,359.0
37.86824000,-122.236040,360.0
37.86826000,-122.236020,360.0
37.86828000,-122.236000,360.0
37.86831000,-122.235980,360.0
37.86834000,-122.235970,361.0
37.86837000,-122.235960,361.0
37.86840000,-122.235950,361.0
37.86843000,-122.235940,361.0
37.86846000,-122.235930,361.0
37.86850000,-122.235920,361.0
37.86852000,-122.235910,361.0
37.86855000,-122.235890,361.0
37.86858000,-122.235860,361.0
37.86860000,-122.235830,361.0
37.86862000,-122.235810,361.0
37.86865000,-122.235790,361.0
37.86867000,-122.235760,360.0
37.86870000,-122.235740,360.0
37.86872000,-122.235710,360.0
37.86874000,-122.235680,359.0
37.86876000,-122.235650,359.0
37.86878000,-122.235620,359.0
37.86880000,-122.235580,359.0
37.86881000,-122.235550,359.0
37.86883000,-122.235520,359.0
37.86884000,-122.235480,359.0
37.86885000,-122.235450,359.0
37.86888000,-122.235410,359.0
37.86890000,-122.235370,359.0
37.86893000,-122.235340,359.0
37.86895000,-122.235300,360.0
37.86897000,-122.235260,360.0
37.86899000,-122.235230,360.0
37.86903000,-122.235210,360.0
37.86906000,-122.235190,360.0
37.86908000,-122.235160,360.0
37.86910000,-122.235130,361.0
37.86913000,-122.235100,361.0
37.86915000,-122.235070,362.0
37.86918000,-122.235050,362.0
37.86920000,-122.235010,362.0
37.86921000,-122.234980,362.0
37.86922000,-122.234940,362.0
37.86923000,-122.234900,362.0
37.86924000,-122.234850,362.0
37.86926000,-122.234820,362.0
37.86928000,-122.234780,362.0
37.86930000,-122.234740,362.0
37.86932000,-122.234710,363.0
37.86934000,-122.234680,363.0
37.86938000,-122.234660,363.0
37.86940000,-122.234680,363.0
37.86943000,-122.234700,364.0
37.86946000,-122.234710,363.0
37.86949000,-122.234730,363.0
37.86952000,-122.234750,362.0
37.86954000,-122.234780,361.0
37.86954000,-122.234820,361.0
37.86957000,-122.234830,360.0
37.86959000,-122.234860,359.0
37.86959000,-122.234890,359.0
37.86961000,-122.234930,358.0
37.86963000,-122.234950,357.0
37.86964000,-122.234990,356.0
37.86966000,-122.235020,355.0
37.86968000,-122.235050,354.0
37.86970000,-122.235090,352.0
37.86971000,-122.235130,351.0
37.86972000,-122.235170,350.0
37.86973000,-122.235200,349.0
37.86973000,-122.235250,348.0
37.86973000,-122.235280,347.0
37.86973000,-122.235340,346.0
37.86973000,-122.235390,345.0
37.86974000,-122.235430,344.0
37.86975000,-122.235470,342.0
37.86976000,-122.235520,341.0
37.86977000,-122.235560,339.0
37.86978000,-122.235600,338.0
37.86977000,-122.235650,337.0
37.86976000,-122.235710,336.0
37.86975000,-122.235740,336.0
37.86974000,-122.235770,336.0
37.86972000,-122.235800,335.0
37.86969000,-122.235830,335.0
37.86967000,-122.235850,335.0
37.86964000,-122.235860,336.0
37.86961000,-122.235870,336.0
37.86958000,-122.235880,337.0
37.86956000,-122.235890,337.0
37.86953000,-122.235890,337.0
37.86950000,-122.235890,338.0
37.86947000,-122.235890,339.0
37.86945000,-122.235910,339.0
37.86941000,-122.235930,339.0
37.86940000,-122.235980,338.0
37.86940000,-122.236010,337.0
37.86940000,-122.236050,336.0
37.86941000,-122.236080,335.0
37.86945000,-122.236080,333.0
37.86947000,-122.236050,334.0
37.86950000,-122.236030,334.0
37.86953000,-122.236020,333.0
37.86956000,-122.236010,333.0
37.86959000,-122.236010,332.0
37.86962000,-122.236030,330.0
37.86965000,-122.236050,329.0
37.86968000,-122.236070,327.0
37.86970000,-122.236090,326.0
37.86973000,-122.236110,324.0
37.86976000,-122.236130,323.0
37.86979000,-122.236150,321.0
37.86979000,-122.236190,320.0
37.86979000,-122.236230,319.0
37.86976000,-122.236270,318.0
37.86973000,-122.236280,318.0
37.86970000,-122.236290,319.0
37.86966000,-122.236310,319.0
37.86964000,-122.236320,320.0
37.86961000,-122.236340,320.0
37.86958000,-122.236350,320.0
37.86955000,-122.236380,320.0
37.86953000,-122.236400,320.0
37.86951000,-122.236420,320.0
37.86949000,-122.236450,320.0
37.86946000,-122.236490,319.0
37.86945000,-122.236520,319.0
37.86943000,-122.236560,318.0
37.86941000,-122.236610,317.0
37.86940000,-122.236650,316.0
37.86939000,-122.236700,315.0
37.86936000,-122.236740,315.0
37.86934000,-122.236780,314.0
37.86932000,-122.236820,314.0
37.86930000,-122.236840,313.0
37.86928000,-122.236860,313.0
37.86926000,-122.236890,313.0
37.86924000,-122.236920,312.0
37.86921000,-122.236930,313.0
37.86918000,-122.236940,313.0
37.86916000,-122.236950,314.0
37.86913000,-122.236960,315.0
37.86910000,-122.236970,316.0
37.86907000,-122.236980,317.0
37.86905000,-122.236990,318.0
37.86902000,-122.237000,319.0
37.86899000,-122.237010,320.0
37.86897000,-122.237020,321.0
37.86893000,-122.237030,322.0
37.86890000,-122.237030,323.0
37.86886000,-122.237030,325.0
37.86883000,-122.237050,325.0
37.86881000,-122.237070,326.0
37.86879000,-122.237110,326.0
37.86877000,-122.237140,326.0
37.86875000,-122.237170,326.0
37.86873000,-122.237200,327.0
37.86871000,-122.237240,327.0
37.86870000,-122.237270,327.0
37.86869000,-122.237300,327.0
37.86869000,-122.237350,327.0
37.86873000,-122.237370,325.0
37.86876000,-122.237370,323.0
37.86880000,-122.237380,322.0
37.86884000,-122.237400,320.0
37.86887000,-122.237420,318.0
37.86890000,-122.237440,317.0
37.86892000,-122.237470,316.0
37.86894000,-122.237510,315.0
37.86895000,-122.237550,315.0
37.86894000,-122.237600,315.0
37.86894000,-122.237630,315.0
37.86895000,-122.237670,315.0
37.86895000,-122.237710,315.0
37.86894000,-122.237740,316.0
37.86893000,-122.237780,316.0
37.86893000,-122.237820,316.0
37.86894000,-122.237870,316.0
37.86895000,-122.237920,316.0
37.86896000,-122.237960,316.0
37.86898000,-122.237990,315.0
37.86899000,-122.238020,315.0
