Latitude,Longitude,Elevation
37.90079000,-122.250100,324.0
37.90079000,-122.250140,324.0
37.90080000,-122.250110,324.0
37.90081000,-122.250070,324.0
37.90077000,-122.250050,324.0
37.90075000,-122.250020,323.0
37.90073000,-122.249990,323.0
37.90070000,-122.249980,323.0
37.90073000,-122.249950,323.0
37.90075000,-122.249910,323.0
37.90074000,-122.249880,323.0
37.90072000,-122.249850,322.0
37.90072000,-122.249820,322.0
37.90071000,-122.249780,322.0
37.90068000,-122.249770,322.0
37.90065000,-122.249740,321.0
37.90064000,-122.249700,321.0
37.90062000,-122.249670,321.0
37.90061000,-122.249630,321.0
37.90059000,-122.249590,321.0
37.90056000,-122.249590,320.0
37.90056000,-122.249550,320.0
37.90056000,-122.249510,320.0
37.90054000,-122.249470,320.0
37.90053000,-122.249430,320.0
37.90052000,-122.249390,321.0
37.90051000,-122.249340,321.0
37.90049000,-122.249300,321.0
37.90048000,-122.249270,321.0
37.90049000,-122.249240,322.0
37.90051000,-122.249220,322.0
37.90050000,-122.249190,322.0
37.90047000,-122.249160,322.0
37.90045000,-122.249120,322.0
37.90044000,-122.249090,323.0
37.90043000,-122.249050,323.0
37.90041000,-122.249010,323.0
37.90040000,-122.248970,324.0
37.90039000,-122.248940,324.0
37.90039000,-122.248910,324.0
37.90038000,-122.248860,325.0
37.90038000,-122.248900,324.0
37.90037000,-122.248940,323.0
37.90038000,-122.248980,323.0
37.90039000,-122.249020,323.0
37.90041000,-122.249070,322.0
37.90042000,-122.249100,322.0
37.90043000,-122.249130,322.0
37.90043000,-122.249100,322.0
37.90042000,-122.249060,323.0
37.90040000,-122.249020,323.0
37.90039000,-122.248970,324.0
37.90039000,-122.248940,324.0
37.90040000,-122.248980,324.0
37.90041000,-122.249020,323.0
37.90042000,-122.249060,323.0
37.90043000,-122.249100,322.0
37.90045000,-122.249140,322.0
37.90046000,-122.249190,322.0
37.90047000,-122.249220,321.0
37.90048000,-122.249260,321.0
37.90049000,-122.249300,321.0
37.90050000,-122.249330,321.0
37.90050000,-122.249370,321.0
37.90049000,-122.249410,320.0
37.90048000,-122.249450,320.0
37.90046000,-122.249500,319.0
37.90045000,-122.249550,319.0
37.90045000,-122.249590,319.0
37.90046000,-122.249630,319.0
37.90047000,-122.249660,319.0
37.90050000,-122.249680,319.0
37.90053000,-122.249690,320.0
37.90057000,-122.249680,320.0
37.90060000,-122.249680,320.0
37.90061000,-122.249640,321.0
37.90060000,-122.249610,321.0
37.90059000,-122.249570,321.0
37.90057000,-122.249540,320.0
37.90056000,-122.249500,320.0
37.90054000,-122.249470,320.0
37.90053000,-122.249430,320.0
37.90052000,-122.249390,321.0
37.90051000,-122.249350,321.0
37.90050000,-122.249310,321.0
37.90049000,-122.249270,321.0
37.90050000,-122.249220,322.0
37.90052000,-122.249200,323.0
37.90055000,-122.249180,323.0
37.90057000,-122.249160,324.0
37.90060000,-122.249140,325.0
37.90062000,-122.249110,327.0
37.90064000,-122.249080,328.0
37.90066000,-122.249040,329.0
37.90067000,-122.249000,331.0
37.90067000,-122.248960,331.0
37.90067000,-122.248920,333.0
37.90067000,-122.248880,333.0
37.90068000,-122.248840,335.0
37.90068000,-122.248790,336.0
37.90069000,-122.248750,337.0
37.90069000,-122.248710,338.0
37.90070000,-122.248680,339.0
37.90071000,-122.248640,340.0
37.90072000,-122.248600,341.0
37.90073000,-122.248560,342.0
37.90074000,-122.248520,343.0
37.90075000,-122.248490,344.0
37.90076000,-122.248450,344.0
37.90076000,-122.248420,345.0
37.90077000,-122.248380,346.0
37.90079000,-122.248350,347.0
37.90080000,-122.248310,347.0
37.90082000,-122.248290,348.0
37.90085000,-122.248260,349.0
37.90088000,-122.248240,350.0
37.90091000,-122.248260,352.0
37.90093000,-122.248280,353.0
37.90097000,-122.248310,354.0
37.90099000,-122.248330,355.0
37.90102000,-122.248350,356.0
37.90105000,-122.248370,357.0
37.90108000,-122.248390,357.0
37.90111000,-122.248410,358.0
37.90114000,-122.248430,358.0
37.90116000,-122.248430,358.0
37.90120000,-122.248420,359.0
37.90122000,-122.248400,360.0
37.90124000,-122.248370,361.0
37.90126000,-122.248330,363.0
