Latitude,Longitude,Elevation
37.81574000,-122.201500,177.0
37.81571000,-122.201480,178.0
37.81569000,-122.201440,178.0
37.81569000,-122.201410,178.0
37.81566000,-122.201380,179.0
37.81565000,-122.201340,180.0
37.81565000,-122.201290,181.0
37.81565000,-122.201260,181.0
37.81565000,-122.201210,182.0
37.81566000,-122.201150,183.0
37.81567000,-122.201100,184.0
37.81567000,-122.201040,185.0
37.81564000,-122.201010,186.0
37.81561000,-122.200980,188.0
37.81558000,-122.200950,189.0
37.81555000,-122.200910,190.0
37.81558000,-122.200900,190.0
37.81560000,-122.200860,190.0
37.81562000,-122.200820,191.0
37.81565000,-122.200790,191.0
37.81568000,-122.200770,191.0
37.81571000,-122.200750,191.0
37.81573000,-122.200720,192.0
37.81574000,-122.200680,192.0
37.81576000,-122.200650,193.0
37.81576000,-122.200610,194.0
37.81575000,-122.200560,195.0
37.81575000,-122.200520,195.0
37.81577000,-122.200480,195.0
37.81577000,-122.200430,195.0
37.81576000,-122.200390,196.0
37.81576000,-122.200350,196.0
37.81575000,-122.200310,196.0
37.81575000,-122.200270,196.0
37.81574000,-122.200230,197.0
37.81574000,-122.200190,197.0
37.81574000,-122.200160,197.0
37.81574000,-122.200110,197.0
37.81574000,-122.200070,197.0
37.81575000,-122.200020,197.0
37.81575000,-122.199980,197.0
37.81575000,-122.199930,198.0
37.81575000,-122.199890,198.0
37.81573000,-122.199840,199.0
37.81572000,-122.199790,200.0
37.81570000,-122.199740,201.0
37.81569000,-122.199690,202.0
37.81568000,-122.199640,203.0
37.81567000,-122.199590,204.0
37.81566000,-122.199540,205.0
37.81565000,-122.199470,207.0
37.81564000,-122.199400,209.0
37.81563000,-122.199340,211.0
37.81562000,-122.199290,213.0
37.81560000,-122.199210,215.0
37.81561000,-122.199170,216.0
37.81562000,-122.199130,217.0
37.81563000,-122.199090,217.0
37.81562000,-122.199050,218.0
37.81559000,-122.199020,217.0
37.81556000,-122.199000,217.0
37.81554000,-122.198990,217.0
37.81551000,-122.198960,216.0
37.81549000,-122.198930,216.0
37.81546000,-122.198900,215.0
37.81543000,-122.198870,214.0
37.81541000,-122.198850,214.0
37.81538000,-122.198810,213.0
37.81536000,-122.198780,212.0
37.81533000,-122.198750,211.0
37.81531000,-122.198720,211.0
37.81529000,-122.198690,210.0
37.81527000,-122.198660,210.0
37.81525000,-122.198620,209.0
37.81524000,-122.198580,210.0
37.81521000,-122.198550,210.0
37.81520000,-122.198500,211.0
37.81519000,-122.198460,211.0
37.81517000,-122.198430,212.0
37.81515000,-122.198390,212.0
37.81515000,-122.198340,213.0
37.81515000,-122.198300,214.0
37.81515000,-122.198260,214.0
37.81515000,-122.198220,215.0
37.81515000,-122.198190,215.0
37.81515000,-122.198140,216.0
37.81515000,-122.198100,217.0
37.81515000,-122.198060,218.0
37.81515000,-122.198020,218.0
37.81516000,-122.197980,219.0
37.81516000,-122.197940,219.0
37.81517000,-122.197900,220.0
37.81517000,-122.197870,220.0
37.81517000,-122.197820,221.0
37.81516000,-122.197790,220.0
37.81515000,-122.197740,221.0
37.81514000,-122.197700,221.0
37.81511000,-122.197670,221.0
37.81509000,-122.197640,220.0
37.81508000,-122.197610,220.0
37.81505000,-122.197590,219.0
37.81503000,-122.197570,219.0
37.81500000,-122.197550,218.0
37.81498000,-122.197520,218.0
37.81496000,-122.197490,219.0
37.81494000,-122.197470,219.0
