Latitude,Longitude,Elevation
37.86302000,-122.244270,157.0
37.86305000,-122.244260,158.0
37.86309000,-122.244250,160.0
37.86313000,-122.244260,161.0
37.86316000,-122.244270,163.0
37.86319000,-122.244290,164.0
37.86322000,-122.244330,165.0
37.86326000,-122.244350,166.0
37.86331000,-122.244350,168.0
37.86334000,-122.244360,169.0
37.86338000,-122.244370,170.0
37.86341000,-122.244370,171.0
37.86345000,-122.244380,172.0
37.86349000,-122.244390,173.0
37.86351000,-122.244410,174.0
37.86355000,-122.244420,174.0
37.86358000,-122.244420,175.0
37.86360000,-122.244440,175.0
37.86360000,-122.244470,175.0
37.86363000,-122.244470,175.0
37.86367000,-122.244470,177.0
37.86371000,-122.244480,178.0
37.86375000,-122.244500,178.0
37.86378000,-122.244510,179.0
37.86382000,-122.244510,180.0
37.86384000,-122.244500,181.0
37.86381000,-122.244470,181.0
37.86378000,-122.244440,181.0
37.86375000,-122.244420,180.0
37.86373000,-122.244380,181.0
37.86370000,-122.244350,181.0
37.86368000,-122.244330,181.0
37.86365000,-122.244310,181.0
37.86363000,-122.244280,181.0
37.86362000,-122.244250,182.0
37.86359000,-122.244220,182.0
37.86357000,-122.244190,182.0
37.86355000,-122.244160,182.0
37.86352000,-122.244130,181.0
37.86350000,-122.244110,180.0
37.86348000,-122.244090,180.0
37.86347000,-122.244060,180.0
37.86344000,-122.244020,180.0
37.86342000,-122.244000,179.0
37.86340000,-122.243970,179.0
37.86338000,-122.243950,179.0
37.86335000,-122.243920,178.0
37.86335000,-122.243880,179.0
37.86333000,-122.243850,179.0
37.86331000,-122.243800,179.0
37.86331000,-122.243760,179.0
37.86329000,-122.243720,179.0
37.86328000,-122.243690,179.0
37.86326000,-122.243640,179.0
37.86325000,-122.243600,179.0
37.86324000,-122.243560,180.0
37.86322000,-122.243520,180.0
37.86321000,-122.243460,181.0
37.86320000,-122.243430,182.0
37.86319000,-122.243400,182.0
37.86317000,-122.243370,182.0
37.86316000,-122.243330,183.0
37.86316000,-122.243300,184.0
37.86316000,-122.243260,185.0
37.86315000,-122.243210,186.0
37.86314000,-122.243180,186.0
37.86312000,-122.243150,186.0
37.86311000,-122.243110,187.0
37.86312000,-122.243080,188.0
37.86313000,-122.243050,189.0
37.86314000,-122.243010,191.0
37.86314000,-122.242970,192.0
37.86315000,-122.242940,194.0
37.86316000,-122.242900,196.0
37.86318000,-122.242860,198.0
37.86318000,-122.242820,199.0
37.86318000,-122.242780,201.0
37.86319000,-122.242740,203.0
37.86319000,-122.242700,205.0
37.86320000,-122.242670,207.0
37.86321000,-122.242630,210.0
37.86323000,-122.242580,214.0
37.86322000,-122.242540,215.0
37.86323000,-122.242510,217.0
37.86324000,-122.242470,219.0
37.86325000,-122.242440,220.0
37.86326000,-122.242400,222.0
37.86328000,-122.242380,223.0
37.86331000,-122.242380,224.0
37.86335000,-122.242380,226.0
37.86338000,-122.242390,226.0
37.86341000,-122.242400,227.0
37.86344000,-122.242410,227.0
37.86346000,-122.242430,227.0
37.86347000,-122.242460,226.0
37.86348000,-122.242500,226.0
37.86349000,-122.242540,224.0
37.86350000,-122.242580,223.0
37.86350000,-122.242630,221.0
37.86351000,-122.242670,219.0
37.86353000,-122.242710,219.0
37.86355000,-122.242740,218.0
37.86357000,-122.242770,218.0
37.86359000,-122.242800,218.0
37.86362000,-122.242810,218.0
37.86365000,-122.242830,218.0
37.86367000,-122.242850,218.0
37.86370000,-122.242860,219.0
37.86373000,-122.242870,219.0
37.86376000,-122.242890,219.0
37.86379000,-122.242900,220.0
37.86382000,-122.242930,220.0
37.86385000,-122.242950,220.0
37.86388000,-122.242970,220.0
37.86390000,-122.243000,220.0
37.86392000,-122.243040,219.0
37.86394000,-122.243070,219.0
37.86396000,-122.243110,219.0
37.86398000,-122.243150,218.0
37.86401000,-122.243180,218.0
37.86402000,-122.243210,217.0
37.86404000,-122.243240,216.0
37.86406000,-122.243270,216.0
37.86408000,-122.243300,215.0
37.86411000,-122.243330,215.0
37.86413000,-122.243360,215.0
37.86416000,-122.243380,215.0
37.86420000,-122.243380,215.0
37.86423000,-122.243380,215.0
37.86426000,-122.243380,215.0
37.86429000,-122.243370,215.0
37.86432000,-122.243350,216.0
37.86434000,-122.243320,217.0
37.86434000,-122.243280,218.0
37.86435000,-122.243240,219.0
37.86434000,-122.243200,220.0
37.86431000,-122.243170,221.0
37.86428000,-122.243150,222.0
37.86425000,-122.243130,222.0
37.86422000,-122.243090,224.0
37.86420000,-122.243060,225.0
37.86418000,-122.243020,226.0
37.86416000,-122.242980,226.0
37.86414000,-122.242950,227.0
37.86413000,-122.242910,228.0
37.86413000,-122.242870,229.0
37.86413000,-122.242830,230.0
37.86413000,-122.242780,231.0
37.86414000,-122.242740,233.0
37.86416000,-122.242710,234.0
37.86418000,-122.242680,234.0
37.86420000,-122.242640,235.0
37.86421000,-122.242610,236.0
37.86422000,-122.242580,237.0
37.86423000,-122.242550,237.0
37.86424000,-122.242510,238.0
37.86424000,-122.242470,239.0
