Latitude,Longitude,Elevation
35.08019000,-83.1436000,1355.0
35.08016000,-83.1436000,1356.0
35.08013000,-83.1436100,1356.0
35.08010000,-83.1436200,1357.0
35.08007000,-83.1436200,1358.0
35.08004000,-83.1436100,1359.0
35.08002000,-83.1435800,1361.0
35.08002000,-83.1435400,1361.0
35.08001000,-83.1435100,1362.0
35.07999000,-83.1434800,1364.0
35.07997000,-83.1434400,1365.0
35.07996000,-83.1434100,1366.0
35.07995000,-83.1433700,1367.0
35.07993000,-83.1433400,1368.0
35.07992000,-83.1433000,1368.0
35.07992000,-83.1432700,1369.0
35.07992000,-83.1432300,1370.0
35.07992000,-83.1431900,1371.0
35.07991000,-83.1431500,1371.0
35.07992000,-83.1431100,1372.0
35.07992000,-83.1430800,1372.0
35.07993000,-83.1430400,1373.0
35.07993000,-83.1430000,1373.0
35.07994000,-83.1429700,1373.0
35.07996000,-83.1429300,1373.0
35.07997000,-83.1428900,1373.0
35.07998000,-83.1428600,1373.0
35.07999000,-83.1428200,1373.0
35.08000000,-83.1428000,1373.0
35.08001000,-83.1427600,1373.0
35.08002000,-83.1427300,1373.0
35.08000000,-83.1427000,1374.0
35.07999000,-83.1426600,1375.0
35.07998000,-83.1426300,1376.0
35.07998000,-83.1425900,1376.0
35.07998000,-83.1425600,1377.0
35.07998000,-83.1425200,1377.0
35.07998000,-83.1424800,1378.0
35.07999000,-83.1424200,1380.0
35.08000000,-83.1423800,1381.0
35.08001000,-83.1423500,1382.0
35.08000000,-83.1424800,1377.0
35.08003000,-83.1424800,1376.0
35.08000000,-83.1424700,1378.0
35.08002000,-83.1424400,1378.0
35.08004000,-83.1424100,1378.0
35.08004000,-83.1423800,1380.0
35.08004000,-83.1423500,1381.0
35.08004000,-83.1423100,1382.0
35.08004000,-83.1422800,1383.0
35.08003000,-83.1422400,1385.0
35.08000000,-83.1422400,1387.0
35.07998000,-83.1422600,1387.0
35.07995000,-83.1422700,1388.0
35.07993000,-83.1423000,1387.0
35.07990000,-83.1423200,1388.0
35.07988000,-83.1423400,1388.0
35.07985000,-83.1423600,1389.0
35.07983000,-83.1423900,1389.0
35.07981000,-83.1424200,1389.0
35.07979000,-83.1424500,1389.0
35.07977000,-83.1424800,1389.0
35.07974000,-83.1425000,1390.0
35.07972000,-83.1425200,1390.0
35.07970000,-83.1425500,1389.0
35.07968000,-83.1425700,1389.0
35.07965000,-83.1425800,1389.0
35.07962000,-83.1425800,1390.0
35.07961000,-83.1425500,1391.0
35.07961000,-83.1425100,1393.0
35.07963000,-83.1424700,1393.0
35.07964000,-83.1424400,1394.0
35.07965000,-83.1424100,1395.0
35.07967000,-83.1423800,1395.0
35.07970000,-83.1423500,1395.0
35.07972000,-83.1423200,1396.0
35.07973000,-83.1422900,1396.0
35.07971000,-83.1422800,1397.0
35.07967000,-83.1422700,1398.0
35.07964000,-83.1422800,1399.0
35.07962000,-83.1423000,1399.0
35.07959000,-83.1423200,1399.0
35.07957000,-83.1423400,1399.0
35.07954000,-83.1423600,1399.0
35.07950000,-83.1423600,1400.0
35.07947000,-83.1423700,1400.0
35.07945000,-83.1423800,1401.0
35.07942000,-83.1424000,1400.0
35.07941000,-83.1424200,1400.0
35.07937000,-83.1424500,1400.0
35.07934000,-83.1424600,1400.0
35.07931000,-83.1424600,1400.0
35.07928000,-83.1424700,1400.0
35.07925000,-83.1424700,1401.0
35.07922000,-83.1424900,1401.0
35.07919000,-83.1425000,1401.0
35.07916000,-83.1424900,1402.0
35.07908000,-83.1424800,1401.0
35.07905000,-83.1424900,1401.0
35.07902000,-83.1424800,1400.0
35.07899000,-83.1424800,1400.0
35.07895000,-83.1424700,1400.0
35.07896000,-83.1424400,1401.0
35.07898000,-83.1424200,1401.0
35.07901000,-83.1424100,1402.0
35.07903000,-83.1423900,1403.0
35.07906000,-83.1423800,1403.0
35.07909000,-83.1423600,1405.0
35.07912000,-83.1423400,1405.0
35.07914000,-83.1423200,1406.0
35.07917000,-83.1423100,1407.0
35.07919000,-83.1422900,1407.0
35.07922000,-83.1422700,1407.0
35.07925000,-83.1422500,1408.0
35.07928000,-83.1422400,1408.0
35.07931000,-83.1422200,1408.0
35.07933000,-83.1421900,1409.0
35.07936000,-83.1421800,1408.0
35.07938000,-83.1421500,1409.0
35.07941000,-83.1421300,1409.0
