Latitude,Longitude,Elevation
37.20156000,-112.986650,1205.0
37.20159000,-112.986670,1205.0
37.20162000,-112.986700,1205.0
37.20166000,-112.986720,1205.0
37.20168000,-112.986740,1205.0
37.20170000,-112.986780,1205.0
37.20174000,-112.986790,1206.0
37.20178000,-112.986770,1206.0
37.20181000,-112.986760,1206.0
37.20184000,-112.986730,1206.0
37.20186000,-112.986710,1206.0
37.20189000,-112.986680,1206.0
37.20192000,-112.986650,1206.0
37.20194000,-112.986620,1206.0
37.20197000,-112.986600,1207.0
37.20199000,-112.986580,1207.0
37.20197000,-112.986620,1207.0
37.20197000,-112.986570,1206.0
37.20198000,-112.986540,1206.0
37.20197000,-112.986490,1206.0
37.20196000,-112.986450,1206.0
37.20195000,-112.986420,1206.0
37.20193000,-112.986380,1206.0
37.20192000,-112.986340,1206.0
37.20191000,-112.986300,1206.0
37.20190000,-112.986260,1206.0
37.20188000,-112.986210,1206.0
37.20188000,-112.986170,1206.0
37.20188000,-112.986130,1206.0
37.20189000,-112.986080,1205.0
37.20189000,-112.986040,1205.0
37.20190000,-112.986010,1205.0
37.20190000,-112.985970,1205.0
37.20192000,-112.985930,1205.0
37.20192000,-112.985890,1205.0
37.20193000,-112.985850,1205.0
37.20195000,-112.985810,1204.0
37.20196000,-112.985770,1204.0
37.20198000,-112.985740,1204.0
37.20199000,-112.985710,1204.0
37.20199000,-112.985670,1204.0
37.20201000,-112.985630,1204.0
37.20203000,-112.985590,1204.0
37.20205000,-112.985560,1204.0
37.20206000,-112.985520,1204.0
37.20207000,-112.985480,1204.0
37.20208000,-112.985440,1204.0
37.20209000,-112.985390,1204.0
37.20210000,-112.985350,1204.0
37.20210000,-112.985310,1204.0
37.20211000,-112.985260,1204.0
37.20211000,-112.985220,1204.0
37.20213000,-112.985180,1204.0
37.20215000,-112.985140,1204.0
37.20217000,-112.985110,1204.0
37.20219000,-112.985080,1204.0
37.20223000,-112.985050,1205.0
37.20226000,-112.985040,1205.0
37.20229000,-112.985030,1205.0
37.20233000,-112.985020,1206.0
37.20236000,-112.985010,1206.0
37.20239000,-112.984990,1206.0
37.20242000,-112.984970,1207.0
37.20245000,-112.984950,1207.0
37.20248000,-112.984920,1207.0
37.20250000,-112.984890,1207.0
37.20253000,-112.984850,1207.0
37.20255000,-112.984820,1207.0
37.20257000,-112.984780,1207.0
37.20258000,-112.984740,1207.0
37.20260000,-112.984700,1208.0
37.20261000,-112.984670,1208.0
37.20263000,-112.984620,1208.0
37.20264000,-112.984580,1209.0
37.20265000,-112.984530,1209.0
37.20266000,-112.984490,1209.0
37.20268000,-112.984450,1209.0
37.20268000,-112.984400,1210.0
37.20269000,-112.984360,1210.0
37.20270000,-112.984320,1210.0
37.20270000,-112.984280,1210.0
37.20271000,-112.984240,1211.0
37.20271000,-112.984210,1211.0
37.20272000,-112.984170,1211.0
37.20272000,-112.984120,1211.0
37.20272000,-112.984090,1211.0
37.20271000,-112.984040,1211.0
37.20272000,-112.983990,1211.0
37.20273000,-112.983950,1211.0
37.20273000,-112.983900,1211.0
37.20274000,-112.983860,1211.0
37.20274000,-112.983810,1211.0
37.20275000,-112.983760,1211.0
37.20275000,-112.983720,1211.0
37.20275000,-112.983680,1211.0
37.20275000,-112.983640,1210.0
37.20274000,-112.983600,1210.0
37.20273000,-112.983560,1210.0
37.20272000,-112.983510,1209.0
37.20271000,-112.983470,1209.0
37.20270000,-112.983430,1209.0
37.20269000,-112.983390,1209.0
37.20269000,-112.983350,1208.0
37.20269000,-112.983310,1208.0
37.20269000,-112.983260,1208.0
37.20269000,-112.983220,1208.0
37.20270000,-112.983180,1209.0
37.20270000,-112.983130,1209.0
37.20270000,-112.983090,1209.0
37.20271000,-112.983050,1209.0
37.20271000,-112.983000,1209.0
37.20272000,-112.982960,1209.0
37.20272000,-112.982920,1209.0
37.20272000,-112.982870,1209.0
37.20273000,-112.982830,1209.0
37.20274000,-112.982800,1209.0
37.20274000,-112.982750,1209.0
37.20274000,-112.982710,1209.0
37.20275000,-112.982670,1209.0
37.20276000,-112.982630,1209.0
37.20276000,-112.982590,1209.0
37.20277000,-112.982550,1209.0
37.20277000,-112.982500,1208.0
37.20278000,-112.982460,1208.0
37.20280000,-112.982420,1208.0
37.20282000,-112.982380,1208.0
37.20284000,-112.982340,1208.0
37.20286000,-112.982310,1208.0
37.20289000,-112.982280,1208.0
37.20292000,-112.982250,1209.0
37.20294000,-112.982220,1209.0
37.20297000,-112.982190,1209.0
37.20298000,-112.982150,1208.0
37.20299000,-112.982120,1208.0
37.20299000,-112.982070,1208.0
37.20298000,-112.982030,1208.0
37.20297000,-112.982000,1207.0
37.20296000,-112.981970,1207.0
37.20295000,-112.981920,1207.0
37.20295000,-112.981870,1206.0
37.20295000,-112.981820,1206.0
37.20294000,-112.981780,1206.0
37.20294000,-112.981730,1205.0
37.20294000,-112.981690,1205.0
37.20294000,-112.981640,1205.0
37.20294000,-112.981600,1205.0
37.20296000,-112.981560,1205.0
37.20297000,-112.981530,1205.0
37.20299000,-112.981490,1205.0
37.20301000,-112.981460,1205.0
37.20303000,-112.981430,1205.0
37.20306000,-112.981410,1206.0
37.20309000,-112.981390,1206.0
37.20312000,-112.981370,1207.0
37.20314000,-112.981340,1207.0
37.20317000,-112.981320,1208.0
37.20320000,-112.981300,1208.0
37.20323000,-112.981280,1209.0
37.20326000,-112.981250,1209.0
37.20328000,-112.981220,1209.0
37.20331000,-112.981200,1210.0
37.20334000,-112.981170,1210.0
37.20337000,-112.981140,1210.0
37.20340000,-112.981120,1210.0
37.20343000,-112.981090,1210.0
37.20346000,-112.981070,1211.0
37.20349000,-112.981050,1211.0
37.20352000,-112.981030,1211.0
37.20356000,-112.981010,1211.0
37.20359000,-112.980980,1211.0
37.20362000,-112.980960,1211.0
37.20365000,-112.980940,1212.0
37.20367000,-112.980900,1212.0
37.20369000,-112.980870,1212.0
37.20372000,-112.980840,1212.0
37.20374000,-112.980800,1211.0
37.20377000,-112.980780,1211.0
37.20381000,-112.980760,1211.0
37.20383000,-112.980750,1212.0
37.20387000,-112.980740,1212.0
37.20390000,-112.980730,1212.0
37.20392000,-112.980730,1211.0
37.20395000,-112.980730,1211.0
37.20398000,-112.980720,1211.0
37.20402000,-112.980730,1211.0
37.20406000,-112.980730,1210.0
37.20409000,-112.980720,1210.0
37.20413000,-112.980720,1210.0
37.20415000,-112.980740,1210.0
37.20418000,-112.980740,1209.0
37.20421000,-112.980740,1209.0
37.20424000,-112.980730,1209.0
37.20426000,-112.980710,1209.0
37.20430000,-112.980680,1209.0
37.20433000,-112.980660,1208.0
37.20436000,-112.980630,1208.0
37.20439000,-112.980600,1208.0
37.20442000,-112.980580,1208.0
37.20444000,-112.980550,1207.0
37.20446000,-112.980520,1207.0
37.20449000,-112.980500,1208.0
37.20453000,-112.980480,1208.0
37.20457000,-112.980470,1208.0
37.20461000,-112.980450,1208.0
37.20464000,-112.980440,1208.0
37.20468000,-112.980430,1208.0
37.20471000,-112.980420,1208.0
37.20473000,-112.980400,1208.0
37.20477000,-112.980400,1209.0
37.20480000,-112.980390,1209.0
37.20483000,-112.980380,1209.0
37.20486000,-112.980360,1209.0
37.20489000,-112.980350,1209.0
37.20492000,-112.980340,1209.0
37.20495000,-112.980330,1210.0
37.20498000,-112.980330,1210.0
37.20502000,-112.980320,1210.0
37.20505000,-112.980310,1210.0
37.20508000,-112.980310,1211.0
37.20511000,-112.980300,1211.0
37.20514000,-112.980290,1212.0
37.20517000,-112.980280,1212.0
37.20520000,-112.980270,1212.0
37.20523000,-112.980240,1212.0
37.20525000,-112.980220,1212.0
37.20528000,-112.980190,1213.0
37.20530000,-112.980170,1213.0
37.20532000,-112.980140,1212.0
37.20535000,-112.980110,1212.0
37.20537000,-112.980080,1212.0
37.20539000,-112.980050,1212.0
37.20541000,-112.980020,1212.0
37.20544000,-112.980010,1212.0
37.20548000,-112.979990,1213.0
37.20551000,-112.979990,1213.0
37.20554000,-112.979990,1213.0
37.20557000,-112.979990,1213.0
37.20560000,-112.979990,1214.0
37.20564000,-112.980000,1214.0
37.20567000,-112.980000,1214.0
37.20571000,-112.980010,1214.0
37.20573000,-112.980020,1214.0
37.20576000,-112.980030,1214.0
37.20580000,-112.980040,1215.0
37.20583000,-112.980040,1215.0
37.20586000,-112.980040,1215.0
37.20590000,-112.980040,1215.0
37.20593000,-112.980030,1214.0
37.20596000,-112.980010,1214.0
37.20599000,-112.979990,1214.0
37.20602000,-112.979960,1214.0
37.20605000,-112.979930,1213.0
37.20607000,-112.979890,1213.0
37.20610000,-112.979860,1213.0
37.20612000,-112.979830,1213.0
37.20615000,-112.979790,1213.0
37.20617000,-112.979760,1213.0
37.20620000,-112.979720,1213.0
37.20622000,-112.979690,1213.0
37.20624000,-112.979650,1213.0
37.20626000,-112.979620,1213.0
37.20628000,-112.979590,1213.0
37.20629000,-112.979560,1213.0
37.20632000,-112.979540,1212.0
37.20634000,-112.979520,1212.0
37.20637000,-112.979500,1212.0
37.20640000,-112.979480,1212.0
37.20644000,-112.979460,1212.0
37.20647000,-112.979430,1212.0
37.20650000,-112.979400,1212.0
37.20653000,-112.979380,1212.0
37.20656000,-112.979360,1212.0
37.20659000,-112.979330,1211.0
37.20662000,-112.979330,1212.0
37.20665000,-112.979330,1212.0
37.20668000,-112.979340,1212.0
37.20672000,-112.979340,1212.0
37.20675000,-112.979350,1212.0
37.20678000,-112.979360,1211.0
37.20682000,-112.979370,1211.0
37.20686000,-112.979370,1211.0
37.20689000,-112.979370,1211.0
37.20693000,-112.979360,1211.0
37.20697000,-112.979360,1211.0
37.20701000,-112.979360,1211.0
37.20705000,-112.979360,1211.0
37.20707000,-112.979350,1211.0
37.20710000,-112.979350,1211.0
37.20714000,-112.979340,1212.0
37.20718000,-112.979330,1212.0
