Latitude,Longitude,Elevation
34.90748000,-83.4122500,1011.0
34.90750000,-83.4122100,1010.0
34.90752000,-83.4121700,1009.0
34.90754000,-83.4121300,1008.0
34.90755000,-83.4121000,1007.0
34.90757000,-83.4120700,1006.0
34.90759000,-83.4120900,1006.0
34.90761000,-83.4121200,1007.0
34.90764000,-83.4121300,1007.0
34.90765000,-83.4121800,1008.0
34.90767000,-83.4122100,1008.0
34.90768000,-83.4122400,1009.0
34.90770000,-83.4122700,1010.0
34.90772000,-83.4122900,1010.0
34.90775000,-83.4123200,1011.0
34.90776000,-83.4123600,1012.0
34.90776000,-83.4124000,1013.0
34.90774000,-83.4124200,1013.0
34.90771000,-83.4124000,1013.0
34.90769000,-83.4123600,1012.0
34.90767000,-83.4123400,1012.0
34.90764000,-83.4123300,1012.0
34.90761000,-83.4123400,1012.0
34.90758000,-83.4123600,1013.0
34.90755000,-83.4123700,1013.0
34.90753000,-83.4123900,1014.0
34.90750000,-83.4124100,1014.0
34.90747000,-83.4124200,1015.0
34.90745000,-83.4124400,1016.0
34.90743000,-83.4124700,1017.0
34.90745000,-83.4125100,1017.0
34.90745000,-83.4125500,1019.0
34.90745000,-83.4125800,1020.0
34.90748000,-83.4126000,1020.0
34.90751000,-83.4126300,1021.0
34.90752000,-83.4126600,1022.0
34.90754000,-83.4126900,1023.0
34.90754000,-83.4127300,1024.0
34.90755000,-83.4127600,1025.0
34.90753000,-83.4127400,1025.0
34.90750000,-83.4127400,1025.0
34.90748000,-83.4127700,1026.0
34.90746000,-83.4128000,1027.0
34.90744000,-83.4128200,1028.0
34.90741000,-83.4128600,1029.0
34.90741000,-83.4129000,1031.0
34.90742000,-83.4129300,1031.0
34.90743000,-83.4129700,1033.0
34.90744000,-83.4130100,1034.0
34.90745000,-83.4130500,1035.0
34.90746000,-83.4130900,1036.0
34.90748000,-83.4131200,1036.0
34.90747000,-83.4131500,1037.0
34.90744000,-83.4131600,1038.0
34.90742000,-83.4131800,1038.0
34.90740000,-83.4132100,1039.0
34.90741000,-83.4132400,1040.0
34.90739000,-83.4132700,1041.0
34.90741000,-83.4133000,1042.0
34.90743000,-83.4133400,1043.0
34.90745000,-83.4133700,1043.0
34.90746000,-83.4134000,1044.0
34.90746000,-83.4134400,1045.0
34.90748000,-83.4134700,1046.0
34.90750000,-83.4134900,1046.0
34.90752000,-83.4135100,1047.0
34.90754000,-83.4135400,1047.0
34.90754000,-83.4135700,1048.0
34.90757000,-83.4135800,1048.0
34.90759000,-83.4136100,1049.0
34.90761000,-83.4136300,1049.0
34.90764000,-83.4136500,1049.0
34.90766000,-83.4136800,1050.0
34.90768000,-83.4137000,1050.0
34.90771000,-83.4137100,1050.0
34.90773000,-83.4137200,1050.0
34.90775000,-83.4137500,1050.0
34.90777000,-83.4137900,1051.0
34.90780000,-83.4138200,1052.0
34.90782000,-83.4138500,1052.0
34.90784000,-83.4138800,1053.0
34.90785000,-83.4139200,1053.0
34.90785000,-83.4139500,1054.0
34.90784000,-83.4139900,1055.0
34.90783000,-83.4140300,1056.0
34.90783000,-83.4140700,1057.0
34.90786000,-83.4140900,1057.0
34.90787000,-83.4141500,1058.0
34.90786000,-83.4141800,1059.0
34.90784000,-83.4142100,1060.0
34.90782000,-83.4142400,1061.0
34.90781000,-83.4142800,1062.0
34.90779000,-83.4143100,1063.0
34.90778000,-83.4143500,1064.0
34.90776000,-83.4143800,1065.0
34.90775000,-83.4144100,1066.0
34.90774000,-83.4144400,1067.0
34.90773000,-83.4144800,1069.0
