Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Max Pace (min/mi),Avg Speed (mi/h),Max Speed (mi/h),Avg Heart Rate,Steps,Notes,Source,Link
"Nov. 7, 2024","Nov. 7, 2024",Run,499,4.4984,2284,8.46288,1.60532,7.08978,37.3758,0,5684,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8266669987
"Nov. 4, 2024","Nov. 4, 2024",Run,492,4.50097,2190,8.10968,0.786989,7.39856,76.2399,0,5604,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8261962612
"Oct. 31, 2024","Oct. 31, 2024",Run,446,3.99788,2160,9.00297,0.36212,6.66447,165.691,0,5390,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8255437819
"Oct. 29, 2024","Oct. 29, 2024",Run,445,3.99709,2136,8.90436,1.94579,6.73827,30.8358,0,5394,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8251818424
"Oct. 26, 2024","Oct. 26, 2024",Run,437,3.99754,1949,8.12593,0.173046,7.38377,346.729,0,4999,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8246729536
"Oct. 22, 2024","Oct. 22, 2024",Run,235,2.14706,1052,8.15767,0.862293,7.35504,69.5819,0,2678,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8239159744
"Oct. 18, 2024","Oct. 18, 2024",Run,446,4.00015,2069,8.6184,0.444886,6.96185,134.866,0,5235,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8232267424
"Oct. 15, 2024","Oct. 15, 2024",Run,448,3.99825,2190,9.12527,1.03065,6.57515,58.2154,0,5496,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8226509617
"Oct. 11, 2024","Oct. 11, 2024",Run,434,4.00016,1913,7.97173,1.04889,7.5266,57.2034,0,4957,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8217774601
"Oct. 7, 2024","Oct. 7, 2024",Run,253,2.26695,1164,8.5556,0.374189,7.01295,160.347,0,2951,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8207025676
"Oct. 3, 2024","Oct. 3, 2024",Run,442,3.99807,2003,8.34914,0.698806,7.18637,85.8608,0,5242,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8198770513
"Sept. 30, 2024","Sept. 30, 2024",Run,446,4.002,2095,8.72253,0.40926,6.87874,146.606,0,5363,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8194073344
"Sept. 28, 2024","Sept. 28, 2024",Run,450,4.03952,2093,8.63367,1.48771,6.94954,40.3304,0,5217,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8190522292
"Sept. 24, 2024","Sept. 24, 2024",Run,256,2.26983,1266,9.2954,0.455679,6.4548,131.672,0,3235,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8183132719
"Sept. 19, 2024","Sept. 19, 2024",Run,445,3.99731,2044,8.52017,0.183606,7.04211,326.786,0,5181,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8174044708
"Sept. 16, 2024","Sept. 16, 2024",Run,446,3.99816,2059,8.58181,0.414068,6.99153,144.904,0,5196,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8167811767
"Sept. 13, 2024","Sept. 13, 2024",Run,335,3.00551,1572,8.71798,0.401716,6.88233,149.359,0,3969,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8162946358
"Sept. 6, 2024","Sept. 6, 2024",Run,444,3.99613,2040,8.50535,0.78389,7.05438,76.5413,0,4992,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8149858264
"Sept. 2, 2024","Sept. 2, 2024",Run,502,4.49815,2439,9.03351,0.400884,6.64193,149.669,0,6103,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8142080575
"Aug. 29, 2024","Aug. 29, 2024",Run,276,2.47342,1345,9.06246,0.630693,6.62072,95.1335,0,3417,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8134052968
"Aug. 24, 2024","Aug. 24, 2024",Run,451,4.01201,2213,9.19231,2.72336,6.52719,22.0316,0,5541,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8124244480
"Aug. 18, 2024","Aug. 18, 2024",Run,445,4.00008,2132,8.88381,0.44062,6.75386,136.172,0,5270,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8113873669
"Aug. 13, 2024","Aug. 13, 2024",Run,346,3.01065,1771,9.8046,1.41256,6.11958,42.476,0,4213,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8104541815
"June 12, 2024","June 12, 2024",Walk,334,2.99933,1549,8.60251,0.418702,6.97471,143.3,0,4020,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7988733685
"June 8, 2024","June 8, 2024",Walk,290,2.94513,5242,29.5979,1.84605,2.02717,32.5019,0,8066,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7978862968
"June 8, 2024","June 8, 2024",Walk,286,2.64548,5761,36.2941,1.28978,1.65316,46.5196,0,7065,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7978687972
"June 5, 2024","June 5, 2024",Run,222,1.99809,1012,8.44098,2.46495,7.10818,24.3413,0,2569,b'Run with Oreo',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7974634585
"June 3, 2024","June 3, 2024",Run,122,1.0731,608,9.43529,4.31497,6.3591,13.9051,0,1476,b'Run with Oreo',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7970704399
"May 21, 2024","May 21, 2024",Run,88,1.04201,1173,18.7569,0.988522,3.19883,60.6967,0,1512,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7945843975
"May 15, 2024","May 15, 2024",Run,298,2.69715,1350,8.33808,1.64242,7.1959,36.5315,0,3493,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7934510155
"May 13, 2024","May 13, 2024",Run,441,3.99813,1988,8.28445,1.0995,7.24249,54.57,0,5164,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7930534624
